Site	Sample	Letter	Start	End	Obs
ABBE	1	A	0	9	Gracilaria
ABBE	1	B	10	19	Gracilaria
ABBE	1	C	20	29	Gracilaria
ABBE	2	A	30	39	Gracilaria
ABBE	2	B	40	49	Gracilaria
ABBE	2	C	50	59	Gracilaria
ABBE	3	A	60	69	Gracilaria
ABBE	3	B	70	79	Gracilaria
ABBE	3	C	80	89	Gracilaria
ABBE	4	A	90	99	Gracilaria
ABBE	4	B	100	109	Gracilaria
ABBE	4	C	110	119	Gracilaria
ABBE	5	A	120	129	Gracilaria
ABBE	5	B	130	139	Gracilaria
ABBE	5	C	140	149	Gracilaria
ABBE	6	A	150	159	Gracilaria
ABBE	6	B	160	169	Gracilaria
ABBE	6	C	170	179	Gracilaria
ABBE	7	A	180	189	Gracilaria
ABBE	7	B	190	199	Gracilaria
ABBE	7	C	200	209	Gracilaria
ABBE	8	A	210	219	Gracilaria
ABBE	8	B	220	229	Gracilaria
ABBE	8	C	230	239	Gracilaria
ABBE	9	A	240	249	Gracilaria
ABBE	9	B	250	259	Gracilaria
ABBE	9	C	260	269	Gracilaria
ABBE	10	A	270	279	Gracilaria
ABBE	10	B	280	289	Gracilaria
ABBE	10	C	290	299	Gracilaria
ABBE	11	A	300	309	Gracilaria
ABBE	11	B	310	319	Gracilaria
ABBE	11	C	320	329	Gracilaria
ABBE	12	A	330	339	Gracilaria
ABBE	12	B	340	349	Gracilaria
ABBE	12	C	350	359	Gracilaria
ABBE	13	A	360	369	Gracilaria
ABBE	13	B	370	379	Gracilaria
ABBE	13	C	380	389	Gracilaria
ABBE	14	A	390	399	Gracilaria
ABBE	14	B	400	409	Gracilaria
ABBE	14	C	410	419	Gracilaria
ABBE	15	A	420	429	Gracilaria
ABBE	15	B	430	439	Gracilaria
ABBE	15	C	440	449	Gracilaria
ABBE	16	A	450	459	Gracilaria
ABBE	16	B	460	469	Gracilaria
ABBE	16	C	470	479	Gracilaria
ABBE	17	A	480	489	Gracilaria
ABBE	17	B	490	499	Gracilaria
ABBE	17	C	500	509	Gracilaria
ABBE	18	A	510	519	Gracilaria
ABBE	18	B	520	529	Gracilaria
ABBE	18	C	530	539	Gracilaria
ABBE	19	A	540	549	Gracilaria
ABBE	19	B	550	559	Gracilaria
ABBE	19	C	560	569	Gracilaria
