Site	Sample	Letter	Start	End	Obs
AULNE	1	A	0	9	Gracilaria
AULNE	1	B	10	19	Gracilaria
AULNE	1	C	20	29	Gracilaria
AULNE	2	A	30	39	Gracilaria
AULNE	2	B	40	49	Gracilaria
AULNE	2	C	50	59	Gracilaria
AULNE	3	A	60	69	Gracilaria
AULNE	3	B	70	79	Gracilaria
AULNE	3	C	80	89	Gracilaria
AULNE	4	A	90	99	Gracilaria
AULNE	4	B	100	109	Gracilaria
AULNE	4	C	110	119	Gracilaria
AULNE	5	A	120	129	Gracilaria
AULNE	5	B	130	139	Gracilaria
AULNE	5	C	140	149	Gracilaria
AULNE	6	A	150	159	Gracilaria
AULNE	6	B	160	169	Gracilaria
AULNE	6	C	170	179	Gracilaria
AULNE	7	A	180	189	Gracilaria
AULNE	7	B	190	199	Gracilaria
AULNE	7	C	200	209	Gracilaria
AULNE	8	A	210	219	Gracilaria
AULNE	8	B	220	229	Gracilaria
AULNE	8	C	230	239	Gracilaria
AULNE	9	A	240	249	Gracilaria
AULNE	9	B	250	259	Gracilaria
AULNE	9	C	260	269	Gracilaria
AULNE	10	A	270	279	Gracilaria
AULNE	10	B	280	289	Gracilaria
AULNE	10	C	290	299	Gracilaria
AULNE	11	A	300	309	Gracilaria
AULNE	11	B	310	319	Gracilaria
AULNE	11	C	320	329	Gracilaria
AULNE	12	A	330	339	Gracilaria
AULNE	12	B	340	349	Gracilaria
AULNE	12	C	350	359	Gracilaria
AULNE	13	A	360	369	Gracilaria
AULNE	13	B	370	379	Gracilaria
AULNE	13	C	380	389	Gracilaria
AULNE	14	A	390	399	Gracilaria
AULNE	14	B	400	409	Gracilaria
AULNE	14	C	410	419	Gracilaria
AULNE	15	A	420	429	Gracilaria
AULNE	15	B	430	439	Gracilaria
AULNE	15	C	440	449	Gracilaria
AULNE	16	A	450	459	Gracilaria
AULNE	16	B	460	469	Gracilaria
AULNE	16	C	470	479	Gracilaria
AULNE	17	A	480	489	Gracilaria
AULNE	17	B	490	499	Gracilaria
AULNE	17	C	500	509	Gracilaria
AULNE	18	A	510	519	Gracilaria
AULNE	18	B	520	529	Gracilaria
AULNE	18	C	530	539	Gracilaria
AULNE	19	A	540	549	Gracilaria
AULNE	19	B	550	559	Gracilaria
AULNE	19	C	560	569	Gracilaria
