Site	Sample	Letter	Start	End	Obs
AURAY	1	A	0	9	Gracilaria
AURAY	1	B	10	19	Gracilaria
AURAY	1	C	20	29	Gracilaria
AURAY	2	A	30	39	Gracilaria
AURAY	2	B	40	49	Gracilaria
AURAY	2	C	50	59	Gracilaria
AURAY	3	A	60	69	Gracilaria
AURAY	3	B	70	79	Gracilaria
AURAY	3	C	80	89	Gracilaria
AURAY	4	A	90	99	Gracilaria
AURAY	4	B	100	109	Gracilaria
AURAY	4	C	110	119	Gracilaria
AURAY	5	A	120	129	Gracilaria
AURAY	5	B	130	139	Gracilaria
AURAY	5	C	140	149	Gracilaria
AURAY	6	A	150	159	Gracilaria
AURAY	6	B	160	169	Gracilaria
AURAY	6	C	170	179	Gracilaria
AURAY	7	A	180	189	Gracilaria
AURAY	7	B	190	199	Gracilaria
AURAY	7	C	200	209	Gracilaria
AURAY	8	A	210	219	Gracilaria
AURAY	8	B	220	229	Gracilaria
AURAY	8	C	230	239	Gracilaria
AURAY	9	A	240	249	Gracilaria
AURAY	9	B	250	259	Gracilaria
AURAY	9	C	260	269	Gracilaria
AURAY	10	A	270	279	Gracilaria
AURAY	10	B	280	289	Gracilaria
AURAY	10	C	290	299	Gracilaria
AURAY	11	A	300	309	Gracilaria
AURAY	11	B	310	319	Gracilaria
AURAY	11	C	320	329	Gracilaria
AURAY	12	A	330	339	Gracilaria
AURAY	12	B	340	349	Gracilaria
AURAY	12	C	350	359	Gracilaria
AURAY	13	A	360	369	Gracilaria
AURAY	13	B	370	379	Gracilaria
AURAY	13	C	380	389	Gracilaria
AURAY	14	A	390	399	Gracilaria
AURAY	14	B	400	409	Gracilaria
AURAY	14	C	410	419	Gracilaria
AURAY	15	A	420	429	Gracilaria
AURAY	15	B	430	439	Gracilaria
AURAY	15	C	440	449	Gracilaria
AURAY	16	A	450	459	Gracilaria
AURAY	16	B	460	469	Gracilaria
AURAY	16	C	470	479	Gracilaria
AURAY	17	A	480	489	Gracilaria
AURAY	17	B	490	499	Gracilaria
AURAY	17	C	500	509	Gracilaria
AURAY	18	A	510	519	Gracilaria
AURAY	18	B	520	529	Gracilaria
AURAY	18	C	530	539	Gracilaria
AURAY	19	A	540	549	Gracilaria
AURAY	19	B	550	559	Gracilaria
AURAY	19	C	560	569	Gracilaria
AURAY	21	A	570	579	Gracilaria
AURAY	21	B	580	589	Gracilaria
AURAY	21	C	590	599	Gracilaria
AURAY	22	A	600	609	Gracilaria
AURAY	22	B	610	619	Gracilaria
AURAY	22	C	620	629	Gracilaria
AURAY	23	A	630	639	Gracilaria
AURAY	23	B	640	649	Gracilaria
AURAY	23	C	650	659	Gracilaria
AURAY	24	A	660	669	Gracilaria
AURAY	24	B	670	679	Gracilaria
AURAY	24	C	680	689	Gracilaria
AURAY	25	A	690	699	Gracilaria
AURAY	25	B	700	709	Gracilaria
AURAY	25	C	710	719	Gracilaria
AURAY	26	A	720	729	Gracilaria
AURAY	26	B	730	739	Gracilaria
AURAY	26	C	740	749	Gracilaria
AURAY	27	A	750	759	Gracilaria
AURAY	27	B	760	769	Gracilaria
AURAY	27	C	770	779	Gracilaria
AURAY	28	A	780	789	Gracilaria
AURAY	28	B	790	799	Gracilaria
AURAY	28	C	800	809	Gracilaria
AURAY	29	A	810	819	Gracilaria
AURAY	29	B	820	829	Gracilaria
AURAY	29	C	830	839	Gracilaria
AURAY	30	A	840	849	Gracilaria
AURAY	30	B	850	859	Gracilaria
AURAY	30	C	860	869	Gracilaria
