Site	Sample	Letter	Start	End	Obs
AVEN	1	A	0	9	Gracilaria
AVEN	1	B	10	19	Gracilaria
AVEN	1	C	20	29	Gracilaria
AVEN	2	A	30	39	Gracilaria
AVEN	2	B	40	49	Gracilaria
AVEN	2	C	50	59	Gracilaria
AVEN	3	A	60	69	Gracilaria
AVEN	3	B	70	79	Gracilaria
AVEN	3	C	80	89	Gracilaria
AVEN	4	A	90	99	Gracilaria
AVEN	4	B	100	109	Gracilaria
AVEN	4	C	110	119	Gracilaria
AVEN	5	A	120	129	Gracilaria
AVEN	5	B	130	139	Gracilaria
AVEN	5	C	140	149	Gracilaria
AVEN	6	A	150	159	Gracilaria
AVEN	6	B	160	169	Gracilaria
AVEN	6	C	170	179	Gracilaria
AVEN	7	A	180	189	Gracilaria
AVEN	7	B	190	199	Gracilaria
AVEN	7	C	200	209	Gracilaria
AVEN	8	A	210	219	Gracilaria
AVEN	8	B	220	229	Gracilaria
AVEN	8	C	230	239	Gracilaria
AVEN	9	A	240	249	Gracilaria
AVEN	9	B	250	259	Gracilaria
AVEN	9	C	260	269	Gracilaria
AVEN	10	A	270	279	Gracilaria
AVEN	10	B	280	289	Gracilaria
AVEN	10	C	290	299	Gracilaria
AVEN	11	A	300	309	Gracilaria
AVEN	11	B	310	319	Gracilaria
AVEN	11	C	320	329	Gracilaria
AVEN	12	A	330	339	Gracilaria
AVEN	12	B	340	349	Gracilaria
AVEN	12	C	350	359	Gracilaria
AVEN	13	A	360	369	Gracilaria
AVEN	13	B	370	379	Gracilaria
AVEN	13	C	380	389	Gracilaria
AVEN	14	A	390	399	Gracilaria
AVEN	14	B	400	409	Gracilaria
AVEN	14	C	410	419	Gracilaria
AVEN	15	A	420	429	Gracilaria
AVEN	15	B	430	439	Gracilaria
AVEN	15	C	440	449	Gracilaria
AVEN	16	A	450	459	Gracilaria
AVEN	16	B	460	469	Gracilaria
AVEN	16	C	470	479	Gracilaria
AVEN	17	A	480	489	Gracilaria
AVEN	17	B	490	499	Gracilaria
AVEN	17	C	500	509	Gracilaria
AVEN	18	A	510	519	Gracilaria
AVEN	18	B	520	529	Gracilaria
AVEN	18	C	530	539	Gracilaria
AVEN	19	A	540	549	Gracilaria
AVEN	19	B	550	559	Gracilaria
AVEN	19	C	560	569	Gracilaria
AVEN	20	A	570	579	Gracilaria
AVEN	20	B	580	589	Gracilaria
AVEN	20	C	590	599	Gracilaria
AVEN	21	A	600	609	Gracilaria
AVEN	21	B	610	619	Gracilaria
AVEN	21	C	620	629	Gracilaria
