Site	Sample	Letter	Start	End	Obs
BEL	1	Field	0	9	Gracilaria
BEL	2	Field	11	20	Gracilaria
BEL	3	Field	21	30	Gracilaria
BEL	4	Field	31	40	Gracilaria
BEL	5	Field	41	50	Gracilaria
BEL	6	Field	51	60	Gracilaria
BEL	7	Field	61	70	Gracilaria
BEL	8	Field	71	80	Gracilaria
BEL	9	Field	82	91	Gracilaria
BEL	10	Field	92	101	Gracilaria
BEL	11	Field	102	111	Gracilaria
BEL	12	Field	113	122	Gracilaria
BEL	13	Field	123	132	Gracilaria
BEL	14	Field	133	142	Gracilaria
BEL	15	Field	143	152	Gracilaria
BEL	16	Field	153	162	Gracilaria
BEL	17	Field	163	172	Gracilaria
BEL	18	Field	173	182	Gracilaria
BEL	19	Field	183	192	Gracilaria
BEL	20	Field	193	202	Gracilaria
