Site	Sample	Letter	Start	End	Obs
BELON	1	A	0	9	Gracilaria
BELON	1	B	10	19	Gracilaria
BELON	1	C	20	29	Gracilaria
BELON	2	A	30	39	Gracilaria
BELON	2	B	40	49	Gracilaria
BELON	2	C	50	59	Gracilaria
BELON	3	A	60	69	Gracilaria
BELON	3	B	70	79	Gracilaria
BELON	3	C	80	89	Gracilaria
BELON	4	A	90	99	Gracilaria
BELON	4	B	100	109	Gracilaria
BELON	4	C	110	119	Gracilaria
BELON	5	A	120	129	Gracilaria
BELON	5	B	130	139	Gracilaria
BELON	5	C	140	149	Gracilaria
BELON	6	A	150	159	Gracilaria
BELON	6	B	160	169	Gracilaria
BELON	6	C	170	179	Gracilaria
BELON	7	A	180	189	Gracilaria
BELON	7	B	190	199	Gracilaria
BELON	7	C	200	209	Gracilaria
BELON	8	A	210	219	Gracilaria
BELON	8	B	220	229	Gracilaria
BELON	8	C	230	239	Gracilaria
BELON	9	A	240	249	Gracilaria
BELON	9	B	250	259	Gracilaria
BELON	9	C	260	269	Gracilaria
BELON	10	A	270	279	Gracilaria
BELON	10	B	280	289	Gracilaria
BELON	10	C	290	299	Gracilaria
BELON	11	A	300	309	Gracilaria
BELON	11	B	310	319	Gracilaria
BELON	11	C	320	329	Gracilaria
BELON	12	A	330	339	Gracilaria
BELON	12	B	340	349	Gracilaria
BELON	12	C	350	359	Gracilaria
BELON	13	A	360	369	Gracilaria
BELON	13	B	370	379	Gracilaria
BELON	13	C	380	389	Gracilaria
BELON	14	A	390	399	Gracilaria
BELON	14	B	400	409	Gracilaria
BELON	14	C	410	419	Gracilaria
