Site	Sample	Letter	Start	End	Obs
BER	1	A	1	10	Gracilaria
BER	1	B	11	20	Gracilaria
BER	1	C	21	30	Gracilaria
BER	1	D	31	40	Gracilaria
BER	2	A	41	50	Gracilaria
BER	2	B	51	60	Gracilaria
BER	2	C	61	70	Gracilaria
BER	2	D	71	80	Gracilaria
BER	3	A	81	90	Gracilaria
BER	3	B	91	100	Gracilaria
BER	3	C	101	110	Gracilaria
BER	3	D	111	120	Gracilaria
BER	4	A	121	130	Gracilaria
BER	4	B	131	140	Gracilaria
BER	4	C	141	150	Gracilaria
BER	4	D	151	160	Gracilaria
BER	5	A	161	170	Gracilaria
BER	5	B	171	180	Gracilaria
BER	5	C	181	190	Gracilaria
BER	5	D	191	200	Gracilaria
BER	6	A	201	210	Gracilaria
BER	6	B	211	220	Gracilaria
BER	6	C	221	230	Gracilaria
BER	6	D	231	240	Gracilaria
BER	7	A	241	250	Gracilaria
BER	7	B	251	260	Gracilaria
BER	7	C	261	270	Gracilaria
BER	7	D	271	280	Gracilaria
BER	8	A	281	290	Gracilaria
BER	8	B	291	300	Gracilaria
BER	8	C	301	310	Gracilaria
BER	8	D	311	320	Gracilaria
BER	9	A	321	330	Gracilaria
BER	9	B	331	340	Gracilaria
BER	9	C	341	350	Gracilaria
BER	9	D	351	360	Gracilaria
BER	10	A	361	370	Gracilaria
BER	10	B	371	380	Gracilaria
BER	10	C	381	390	Gracilaria
BER	10	D	391	400	Gracilaria
BER	11	A	401	410	Gracilaria
BER	11	B	411	420	Gracilaria
BER	11	C	421	430	Gracilaria
BER	11	D	431	440	Gracilaria
BER	12	A	442	451	Gracilaria
BER	12	B	452	461	Gracilaria
BER	12	C	462	471	Gracilaria
BER	12	D	472	481	Gracilaria
BER	13	A	482	491	Gracilaria
BER	13	B	492	501	Gracilaria
BER	13	C	502	511	Gracilaria
BER	13	D	512	521	Gracilaria
BER	14	A	522	531	Gracilaria
BER	14	B	532	541	Gracilaria
BER	14	C	542	551	Gracilaria
BER	14	D	552	561	Gracilaria
BER	15	A	562	571	Gracilaria
BER	15	B	572	581	Gracilaria
BER	15	C	582	591	Gracilaria
BER	15	D	592	601	Gracilaria
BER	16	A	602	611	Gracilaria
BER	16	B	612	621	Gracilaria
BER	16	C	622	631	Gracilaria
BER	16	D	632	641	Gracilaria
BER	17	A	642	651	Gracilaria
BER	17	B	652	661	Gracilaria
BER	17	C	662	671	Gracilaria
BER	17	D	672	681	Gracilaria
BER	18	A	682	691	Gracilaria
BER	18	B	692	701	Gracilaria
BER	18	C	702	711	Gracilaria
BER	18	D	712	721	Gracilaria
