Site	Sample	Letter	Start	End	Obs
BLAVET	1	A	0	9	Gracilaria
BLAVET	1	B	10	19	Gracilaria
BLAVET	1	C	20	29	Gracilaria
BLAVET	2	A	30	39	Gracilaria
BLAVET	2	B	40	49	Gracilaria
BLAVET	2	C	50	59	Gracilaria
BLAVET	3	A	60	69	Gracilaria
BLAVET	3	B	70	79	Gracilaria
BLAVET	3	C	80	89	Gracilaria
BLAVET	4	A	90	99	Gracilaria
BLAVET	4	B	100	109	Gracilaria
BLAVET	4	C	110	119	Gracilaria
BLAVET	5	A	120	129	Gracilaria
BLAVET	5	B	130	139	Gracilaria
BLAVET	5	C	140	149	Gracilaria
BLAVET	6	A	150	159	Gracilaria
BLAVET	6	B	160	169	Gracilaria
BLAVET	6	C	170	179	Gracilaria
BLAVET	7	A	180	189	Gracilaria
BLAVET	7	B	190	199	Gracilaria
BLAVET	7	C	200	209	Gracilaria
BLAVET	8	A	210	219	Gracilaria
BLAVET	8	B	220	229	Gracilaria
BLAVET	8	C	230	239	Gracilaria
BLAVET	9	A	240	249	Gracilaria
BLAVET	9	B	250	259	Gracilaria
BLAVET	9	C	260	269	Gracilaria
BLAVET	10	A	270	279	Gracilaria
BLAVET	10	B	280	289	Gracilaria
BLAVET	10	C	290	299	Gracilaria
BLAVET	11	A	300	309	Gracilaria
BLAVET	11	B	310	319	Gracilaria
BLAVET	11	C	320	329	Gracilaria
BLAVET	12	A	330	339	Gracilaria
BLAVET	12	B	340	349	Gracilaria
BLAVET	12	C	350	359	Gracilaria
