Site	Sample	Letter	Start	End	Obs
CAMFROU	1	A	0	9	Gracilaria
CAMFROU	1	B	10	19	Gracilaria
CAMFROU	1	C	20	29	Gracilaria
CAMFROU	2	A	30	39	Gracilaria
CAMFROU	2	B	40	49	Fucus
CAMFROU	2	C	50	59	Fucus
CAMFROU	3	A	60	69	Fucus
CAMFROU	3	B	70	79	Fucus
CAMFROU	3	C	80	89	Fucus
CAMFROU	4	A	90	99	Fucus
CAMFROU	4	B	100	109	Fucus
CAMFROU	4	C	110	119	Fucus
CAMFROU	5	A	120	129	Gracilaria
CAMFROU	5	B	130	139	Gracilaria
CAMFROU	5	C	140	149	Gracilaria
CAMFROU	6	A	150	159	Gracilaria
CAMFROU	6	B	160	169	Gracilaria
CAMFROU	6	C	170	179	Gracilaria
CAMFROU	7	A	180	189	Gracilaria
CAMFROU	7	B	190	199	Gracilaria
CAMFROU	7	C	200	209	Gracilaria
CAMFROU	8	A	210	219	Gracilaria
CAMFROU	8	B	220	229	Gracilaria
CAMFROU	8	C	230	239	Gracilaria
CAMFROU	9	A	240	249	Gracilaria
CAMFROU	9	B	250	259	Gracilaria
CAMFROU	9	C	260	269	Gracilaria
CAMFROU	10	A	270	279	Gracilaria
CAMFROU	10	B	280	289	Gracilaria
CAMFROU	10	C	290	299	Gracilaria
CAMFROU	11	A	300	309	Gracilaria
CAMFROU	11	B	310	319	Gracilaria
CAMFROU	11	C	320	329	Gracilaria
CAMFROU	12	A	330	339	Gracilaria
CAMFROU	12	B	340	349	Gracilaria
CAMFROU	12	C	350	359	Gracilaria
CAMFROU	13	A	360	369	Gracilaria
CAMFROU	13	B	370	379	Gracilaria
CAMFROU	13	C	380	389	Gracilaria
CAMFROU	14	A	390	399	Gracilaria
CAMFROU	14	B	400	409	Gracilaria
CAMFROU	14	C	410	419	Gracilaria
CAMFROU	15	A	420	429	Gracilaria
CAMFROU	15	B	430	439	Gracilaria
CAMFROU	15	C	440	449	Gracilaria
CAMFROU	16	A	450	459	Gracilaria
CAMFROU	16	B	460	469	Gracilaria
CAMFROU	16	C	470	479	Gracilaria
CAMFROU	17	A	480	489	Gracilaria
CAMFROU	17	B	490	499	Gracilaria
CAMFROU	17	C	500	509	Gracilaria
CAMFROU	18	A	510	519	Gracilaria
CAMFROU	18	B	520	529	Gracilaria
CAMFROU	18	C	530	539	Gracilaria
CAMFROU	19	A	540	549	Gracilaria
CAMFROU	19	B	550	559	Gracilaria
CAMFROU	19	C	560	569	Gracilaria
CAMFROU	20	A	570	579	Gracilaria
CAMFROU	20	B	580	589	Gracilaria
CAMFROU	20	C	590	599	Gracilaria
CAMFROU	21	A	600	609	Gracilaria
CAMFROU	21	B	610	619	Gracilaria
CAMFROU	21	C	620	629	Gracilaria
CAMFROU	22	A	630	639	Gracilaria
CAMFROU	22	B	640	649	Gracilaria
CAMFROU	22	C	650	659	Gracilaria
CAMFROU	23	A	660	669	Gracilaria
CAMFROU	23	B	670	679	Gracilaria
CAMFROU	23	C	680	689	Gracilaria
CAMFROU	24	A	690	699	Gracilaria
CAMFROU	24	B	700	709	Gracilaria
CAMFROU	24	C	710	719	Gracilaria
CAMFROU	25	A	720	729	Gracilaria
CAMFROU	25	B	730	739	Gracilaria
CAMFROU	25	C	740	749	Gracilaria
CAMFROU	26	A	750	759	Gracilaria
CAMFROU	26	B	760	769	Gracilaria
CAMFROU	26	C	770	779	Gracilaria
CAMFROU	27	A	780	789	Gracilaria
CAMFROU	27	B	790	799	Gracilaria
CAMFROU	27	C	800	809	Gracilaria
CAMFROU	28	A	810	819	Gracilaria
CAMFROU	28	B	820	829	Gracilaria
CAMFROU	28	C	830	839	Gracilaria
CAMFROU	29	A	840	849	Gracilaria
CAMFROU	29	B	850	859	Gracilaria
CAMFROU	29	C	860	869	Gracilaria
CAMFROU	30	A	870	879	Gracilaria
CAMFROU	30	B	880	889	Gracilaria
CAMFROU	30	C	890	899	Gracilaria
