Site	Sample	Letter	Start	End	Obs
MORB	2	A	0	9	Gracilaria
MORB	2	B	10	19	Gracilaria
MORB	2	C	20	29	Gracilaria
MORB	13	A	30	39	Gracilaria
MORB	13	B	40	49	Gracilaria
MORB	13	C	50	59	Gracilaria
MORB	14	A	60	69	Gracilaria
MORB	14	B	70	79	Gracilaria
MORB	14	C	80	89	Gracilaria
MORB	15	A	90	99	Gracilaria
MORB	15	B	100	109	Gracilaria
MORB	15	C	110	119	Gracilaria
MORB	16	A	120	129	Gracilaria
MORB	16	B	130	139	Gracilaria
MORB	16	C	140	149	Gracilaria
MORB	17	A	150	159	Gracilaria
MORB	17	B	160	169	Gracilaria
MORB	17	C	170	179	Gracilaria
MORB	18	A	180	189	Gracilaria
MORB	18	B	190	199	Gracilaria
MORB	18	C	200	209	Gracilaria
MORB	19	A	210	219	Gracilaria
MORB	19	B	220	229	Gracilaria
MORB	19	C	230	239	Gracilaria
MORB	20	A	240	249	Gracilaria
MORB	20	B	250	259	Gracilaria
MORB	20	C	260	269	Gracilaria
MORB	21	A	270	279	Gracilaria
MORB	21	B	280	289	Gracilaria
MORB	21	C	290	299	Gracilaria
MORB	22	A	300	309	Gracilaria
MORB	22	B	310	319	Gracilaria
MORB	22	C	320	329	Gracilaria
MORB	23	A	330	339	Gracilaria
MORB	23	B	340	349	Gracilaria
MORB	23	C	350	359	Gracilaria
MORB	24	A	360	369	Gracilaria
MORB	24	B	370	379	Gracilaria
MORB	24	C	380	389	Gracilaria
MORB	25	A	390	399	Gracilaria
MORB	25	B	400	409	Gracilaria
MORB	25	C	410	419	Gracilaria
MORB	26	A	420	429	Gracilaria
MORB	26	B	430	439	Gracilaria
MORB	26	C	440	449	Gracilaria
MORB	27	A	450	459	Gracilaria
MORB	27	B	460	469	Gracilaria
MORB	27	C	470	479	Gracilaria
MORB	28	A	480	489	Gracilaria
MORB	28	B	490	499	Gracilaria
MORB	28	C	500	509	Gracilaria
MORB	29	A	510	519	Gracilaria
MORB	29	B	520	529	Gracilaria
MORB	29	C	530	539	Gracilaria
MORB	30	A	540	549	Gracilaria
MORB	30	B	550	559	Gracilaria
MORB	30	C	560	569	Gracilaria
