Site	Sample	Letter	Start	End	Obs
NEUF	1	A	0	9	Gracilaria
NEUF	1	B	10	19	Gracilaria
NEUF	1	C	20	29	Gracilaria
NEUF	2	A	30	39	Gracilaria
NEUF	2	B	40	49	Gracilaria
NEUF	2	C	50	59	Gracilaria
NEUF	3	A	60	69	Gracilaria
NEUF	3	B	70	79	Gracilaria
NEUF	3	C	80	89	Gracilaria
NEUF	4	A	90	99	Gracilaria
NEUF	4	B	100	109	Gracilaria
NEUF	4	C	110	119	Gracilaria
NEUF	5	A	120	129	Gracilaria
NEUF	5	B	130	139	Gracilaria
NEUF	5	C	140	149	Gracilaria
NEUF	6	A	150	159	Gracilaria
NEUF	6	B	160	169	Gracilaria
NEUF	6	C	170	179	Gracilaria
NEUF	7	A	180	189	Gracilaria
NEUF	7	B	190	199	Gracilaria
NEUF	7	C	200	209	Gracilaria
NEUF	8	A	210	219	Gracilaria
NEUF	8	B	220	229	Gracilaria
NEUF	8	C	230	239	Gracilaria
NEUF	9	A	240	249	Gracilaria
NEUF	9	B	250	259	Gracilaria
NEUF	9	C	260	269	Gracilaria
NEUF	10	A	270	279	Gracilaria
NEUF	10	B	280	289	Gracilaria
NEUF	10	C	290	299	Gracilaria
NEUF	11	A	300	309	Gracilaria
NEUF	11	B	310	319	Gracilaria
NEUF	11	C	320	329	Gracilaria
NEUF	12	A	330	339	Gracilaria
NEUF	12	B	340	349	Gracilaria
NEUF	12	C	350	359	Gracilaria
NEUF	13	A	360	369	Gracilaria
NEUF	13	B	370	379	Gracilaria
NEUF	13	C	380	389	Gracilaria
NEUF	16	A	390	399	Gracilaria
NEUF	16	B	400	409	Gracilaria
NEUF	16	C	410	419	Gracilaria
NEUF	17	A	420	429	Gracilaria
NEUF	17	B	430	439	Gracilaria
NEUF	17	C	440	449	Gracilaria
NEUF	18	A	450	459	Gracilaria
NEUF	18	B	460	469	Gracilaria
NEUF	18	C	470	479	Gracilaria
NEUF	19	A	480	489	Gracilaria
NEUF	19	B	490	499	Gracilaria
NEUF	19	C	500	509	Gracilaria
NEUF	20	A	510	519	Gracilaria
NEUF	20	B	520	529	Gracilaria
NEUF	20	C	530	539	Gracilaria
NEUF	21	A	540	549	Gracilaria
NEUF	21	B	550	559	Gracilaria
NEUF	21	C	560	569	Gracilaria
NEUF	22	A	570	579	Gracilaria
NEUF	22	B	580	589	Gracilaria
NEUF	22	C	590	599	Gracilaria
NEUF	23	A	600	609	Gracilaria
NEUF	23	B	610	619	Gracilaria
NEUF	23	C	620	629	Gracilaria
NEUF	24	A	630	639	Gracilaria
NEUF	24	B	640	649	Gracilaria
NEUF	24	C	650	659	Gracilaria
NEUF	25	A	660	669	Gracilaria
NEUF	25	B	670	679	Gracilaria
NEUF	25	C	680	689	Gracilaria
NEUF	26	A	690	699	Gracilaria
NEUF	26	B	700	709	Gracilaria
NEUF	26	C	710	719	Gracilaria
NEUF	27	A	720	729	Gracilaria
NEUF	27	B	730	739	Gracilaria
NEUF	27	C	740	749	Gracilaria
NEUF	29	A	750	759	Gracilaria
NEUF	29	B	760	769	Gracilaria
NEUF	29	C	770	779	Gracilaria
NEUF	30	A	780	789	Gracilaria
NEUF	30	B	790	799	Gracilaria
NEUF	30	C	800	809	Gracilaria
