Site	Sample	Letter	Start	End	Obs
PENFOUL	1	A	0	9	Gracilaria
PENFOUL	1	B	10	19	Gracilaria
PENFOUL	1	C	20	29	Gracilaria
PENFOUL	2	A	30	39	Gracilaria
PENFOUL	2	B	40	49	Gracilaria
PENFOUL	2	C	50	59	Gracilaria
PENFOUL	3	A	60	69	Gracilaria
PENFOUL	3	B	70	79	Gracilaria
PENFOUL	3	C	80	89	Gracilaria
PENFOUL	4	A	90	100	Gracilaria
PENFOUL	4	B	101	109	Gracilaria
PENFOUL	4	C	110	119	Gracilaria
PENFOUL	5	A	120	129	Gracilaria
PENFOUL	5	B	130	139	Gracilaria
PENFOUL	5	C	140	149	Gracilaria
PENFOUL	6	A	150	159	Gracilaria
PENFOUL	6	B	160	169	Gracilaria
PENFOUL	6	C	170	179	Gracilaria
PENFOUL	7	A	180	189	Gracilaria
PENFOUL	7	B	190	199	Gracilaria
PENFOUL	7	C	200	209	Gracilaria
PENFOUL	8	A	210	219	Gracilaria
PENFOUL	8	B	220	229	Gracilaria
PENFOUL	8	C	230	239	Gracilaria
PENFOUL	9	A	240	249	Gracilaria
PENFOUL	9	B	250	259	Gracilaria
PENFOUL	9	C	260	269	Gracilaria
PENFOUL	16	A	270	279	Gracilaria
PENFOUL	16	B	280	289	Gracilaria
PENFOUL	16	C	290	299	Gracilaria
PENFOUL	17	A	300	309	Gracilaria
PENFOUL	17	B	310	319	Gracilaria
PENFOUL	17	C	320	329	Gracilaria
PENFOUL	18	A	330	339	Gracilaria
PENFOUL	18	B	340	349	Gracilaria
PENFOUL	18	C	350	359	Gracilaria
PENFOUL	19	A	360	369	Gracilaria
PENFOUL	19	B	370	379	Gracilaria
PENFOUL	19	C	380	389	Gracilaria
PENFOUL	20	A	390	399	Gracilaria
PENFOUL	20	B	400	409	Gracilaria
PENFOUL	20	C	410	419	Gracilaria
PENFOUL	21	A	420	429	Gracilaria
PENFOUL	21	B	430	439	Gracilaria
PENFOUL	21	C	440	449	Gracilaria
PENFOUL	22	A	450	459	Gracilaria
PENFOUL	22	B	460	469	Gracilaria
PENFOUL	22	C	470	479	Gracilaria
PENFOUL	23	A	480	489	Gracilaria
PENFOUL	23	B	490	499	Gracilaria
PENFOUL	23	C	500	509	Gracilaria
PENFOUL	24	A	510	519	Gracilaria
PENFOUL	24	B	520	529	Gracilaria
PENFOUL	24	C	530	539	Gracilaria
PENFOUL	25	A	540	549	Gracilaria
PENFOUL	25	B	550	559	Gracilaria
PENFOUL	25	C	560	569	Gracilaria
PENFOUL	26	A	570	579	Gracilaria
PENFOUL	26	B	580	589	Gracilaria
PENFOUL	26	C	590	599	Gracilaria
PENFOUL	27	A	600	609	Gracilaria
PENFOUL	27	B	610	619	Gracilaria
PENFOUL	27	C	620	629	Gracilaria
PENFOUL	28	A	630	639	Gracilaria
PENFOUL	28	B	640	649	Gracilaria
PENFOUL	28	C	650	659	Gracilaria
PENFOUL	29	A	660	669	Gracilaria
PENFOUL	29	B	670	679	Gracilaria
PENFOUL	29	C	680	689	Gracilaria
PENFOUL	30	A	690	699	Gracilaria
PENFOUL	30	B	700	709	Gracilaria
PENFOUL	30	C	710	719	Gracilaria
