Site	Sample	Letter	Start	End	Obs
SCO-GRA	1	A	0	9	Gracilaria
SCO-GRA	1	B	10	19	Gracilaria
SCO-GRA	1	C	20	29	Gracilaria
SCO-GRA	2	A	30	39	Gracilaria
SCO-GRA	2	B	40	49	Gracilaria
SCO-GRA	2	C	50	59	Gracilaria
SCO-GRA	3	A	60	69	Gracilaria
SCO-GRA	3	B	70	79	Gracilaria
SCO-GRA	3	C	80	89	Gracilaria
SCO-GRA	4	A	90	99	Gracilaria
SCO-GRA	4	B	100	109	Gracilaria
SCO-GRA	4	C	110	119	Gracilaria
SCO-GRA	5	A	120	129	Gracilaria
SCO-GRA	5	B	130	139	Gracilaria
SCO-GRA	5	C	140	149	Gracilaria
SCO-GRA	6	A	150	159	Gracilaria
SCO-GRA	6	B	160	169	Gracilaria
SCO-GRA	6	C	170	179	Gracilaria
SCO-GRA	7	A	180	189	Gracilaria
SCO-GRA	7	B	190	199	Gracilaria
SCO-GRA	7	C	200	209	Gracilaria
SCO-GRA	8	A	210	219	Gracilaria
SCO-GRA	8	B	220	229	Gracilaria
SCO-GRA	8	C	230	239	Gracilaria
SCO-GRA	9	A	240	249	Gracilaria
SCO-GRA	9	B	250	259	Gracilaria
SCO-GRA	9	C	260	269	Gracilaria
SCO-GRA	10	A	270	279	Gracilaria
SCO-GRA	10	B	280	289	Gracilaria
SCO-GRA	10	C	290	299	Gracilaria
SCO-GRA	11	A	300	309	Gracilaria
SCO-GRA	11	B	310	319	Gracilaria
SCO-GRA	11	C	320	329	Gracilaria
SCO-GRA	12	A	330	339	Gracilaria
SCO-GRA	12	B	340	349	Gracilaria
SCO-GRA	12	C	350	359	Gracilaria
SCO-GRA	13	A	360	369	Gracilaria
SCO-GRA	13	B	370	379	Gracilaria
SCO-GRA	13	C	380	389	Gracilaria
SCO-GRA	14	A	390	399	Gracilaria
SCO-GRA	14	B	400	409	Gracilaria
SCO-GRA	14	C	410	419	Gracilaria
SCO-GRA	15	A	420	429	Gracilaria
SCO-GRA	15	B	430	439	Gracilaria
SCO-GRA	15	C	440	449	Gracilaria
SCO-GRA	16	A	450	459	Gracilaria
SCO-GRA	16	B	460	469	Gracilaria
SCO-GRA	16	C	470	479	Gracilaria
SCO-GRA	17	A	480	489	Gracilaria
SCO-GRA	17	B	490	499	Gracilaria
SCO-GRA	17	C	500	509	Gracilaria
SCO-GRA	18	A	510	519	Gracilaria
SCO-GRA	18	B	520	529	Gracilaria
SCO-GRA	18	C	530	539	Gracilaria
SCO-GRA	19	A	540	549	Gracilaria
SCO-GRA	19	B	550	559	Gracilaria
SCO-GRA	19	C	560	569	Gracilaria
SCO-GRA	20	A	570	579	Gracilaria
SCO-GRA	20	B	580	589	Gracilaria
SCO-GRA	20	C	590	599	Gracilaria
SCO-GRA	21	A	600	609	Gracilaria
SCO-GRA	21	B	610	619	Gracilaria
SCO-GRA	21	C	620	629	Gracilaria
SCO-GRA	22	A	630	639	Gracilaria
SCO-GRA	22	B	640	649	Gracilaria
SCO-GRA	22	C	650	659	Gracilaria
SCO-GRA	23	A	660	669	Gracilaria
SCO-GRA	23	B	670	679	Gracilaria
SCO-GRA	23	C	680	689	Gracilaria
SCO-GRA	24	A	690	699	Gracilaria
SCO-GRA	24	B	700	709	Gracilaria
SCO-GRA	24	C	710	719	Gracilaria
SCO-GRA	25	A	720	729	Gracilaria
SCO-GRA	25	B	730	739	Gracilaria
SCO-GRA	25	C	740	749	Gracilaria
SCO-GRA	26	A	750	759	Gracilaria
SCO-GRA	26	B	760	769	Gracilaria
SCO-GRA	26	C	770	779	Gracilaria
SCO-GRA	27	A	780	789	Gracilaria
SCO-GRA	27	B	790	799	Gracilaria
SCO-GRA	27	C	800	809	Gracilaria
SCO-GRA	28	A	810	819	Gracilaria
SCO-GRA	28	B	820	829	Gracilaria
SCO-GRA	28	C	830	839	Gracilaria
