Site	Sample	Letter	Start	End	Obs
SCORFF	1	A	0	9	Gracilaria
SCORFF	1	B	10	19	Gracilaria
SCORFF	1	C	20	29	Gracilaria
SCORFF	9	A	30	39	Gracilaria
SCORFF	9	B	40	49	Gracilaria
SCORFF	9	C	50	59	Gracilaria
SCORFF	2	A	60	69	Gracilaria
SCORFF	2	B	70	79	Gracilaria
SCORFF	2	C	80	89	Gracilaria
SCORFF	3	A	90	99	Gracilaria
SCORFF	3	B	100	109	Gracilaria
SCORFF	3	C	110	119	Gracilaria
SCORFF	4	A	120	129	Gracilaria
SCORFF	4	B	130	139	Gracilaria
SCORFF	4	C	140	149	Gracilaria
SCORFF	5	A	150	159	Gracilaria
SCORFF	5	B	160	169	Gracilaria
SCORFF	5	C	170	179	Gracilaria
SCORFF	6	A	180	189	Gracilaria
SCORFF	6	B	190	199	Gracilaria
SCORFF	6	C	200	209	Gracilaria
SCORFF	7	A	210	219	Gracilaria
SCORFF	7	B	220	229	Gracilaria
SCORFF	7	C	230	239	Gracilaria
SCORFF	8	A	240	249	Gracilaria
SCORFF	8	B	250	259	Gracilaria
SCORFF	8	C	260	269	Gracilaria
SCORFF	10	A	270	279	Gracilaria
SCORFF	10	B	280	289	Gracilaria
SCORFF	10	C	290	299	Gracilaria
SCORFF	11	A	300	309	Gracilaria
SCORFF	11	B	310	319	Gracilaria
SCORFF	11	C	320	329	Gracilaria
SCORFF	12	A	330	339	Gracilaria
SCORFF	12	B	340	349	Gracilaria
SCORFF	12	C	350	359	Gracilaria
SCORFF	13	A	360	369	Gracilaria
SCORFF	13	B	370	379	Gracilaria
SCORFF	13	C	380	389	Gracilaria
SCORFF	14	A	390	399	Gracilaria
SCORFF	14	B	400	409	Gracilaria
SCORFF	14	C	410	419	Gracilaria
SCORFF	15	A	420	429	Gracilaria
SCORFF	15	B	430	439	Gracilaria
SCORFF	15	C	440	449	Gracilaria
SCORFF	16	A	450	459	Gracilaria
SCORFF	16	B	460	469	Gracilaria
SCORFF	16	C	470	479	Gracilaria
SCORFF	17	A	480	489	Gracilaria
SCORFF	17	B	490	499	Gracilaria
SCORFF	17	C	500	509	Gracilaria
SCORFF	18	A	510	519	Gracilaria
SCORFF	18	B	520	529	Gracilaria
SCORFF	18	C	530	539	Gracilaria
SCORFF	19	A	540	549	Gracilaria
SCORFF	19	B	550	559	Gracilaria
SCORFF	19	C	560	569	Gracilaria
SCORFF	20	A	570	579	Gracilaria
SCORFF	20	B	580	589	Gracilaria
SCORFF	20	C	590	599	Gracilaria
SCORFF	21	A	600	609	Gracilaria
SCORFF	21	B	610	619	Gracilaria
SCORFF	21	C	620	629	Gracilaria
SCORFF	22	A	630	639	Gracilaria
SCORFF	22	B	640	649	Gracilaria
SCORFF	22	C	650	659	Gracilaria
SCORFF	23	A	660	669	Gracilaria
SCORFF	23	B	670	679	Gracilaria
SCORFF	23	C	680	689	Gracilaria
SCORFF	24	A	690	699	Gracilaria
SCORFF	24	B	700	709	Gracilaria
SCORFF	24	C	710	719	Gracilaria
SCORFF	25	A	720	729	Gracilaria
SCORFF	25	B	730	739	Gracilaria
SCORFF	25	C	740	749	Gracilaria
SCORFF	26	A	750	759	Gracilaria
SCORFF	26	B	760	769	Gracilaria
SCORFF	26	C	770	779	Gracilaria
SCORFF	27	A	780	789	Gracilaria
SCORFF	27	B	790	799	Gracilaria
SCORFF	27	C	800	809	Gracilaria
SCORFF	28	A	810	819	Gracilaria
SCORFF	28	B	820	829	Gracilaria
SCORFF	28	C	830	839	Gracilaria
SCORFF	29	A	840	849	Gracilaria
SCORFF	29	B	850	859	Gracilaria
SCORFF	29	C	860	869	Gracilaria
SCORFF	30	A	870	879	Gracilaria
SCORFF	30	B	880	889	Gracilaria
SCORFF	30	C	890	899	Gracilaria
