Site	Sample	Letter	Start	End	Obs
VAN	1	A	0	9	Gracilaria
VAN	1	B	10	19	Gracilaria
VAN	1	C	20	29	Gracilaria
VAN	2	A	30	39	Gracilaria
VAN	2	B	40	49	Gracilaria
VAN	2	C	50	59	Gracilaria
VAN	3	A	60	69	Gracilaria
VAN	3	B	70	79	Gracilaria
VAN	3	C	80	89	Gracilaria
VAN	4	A	90	99	Gracilaria
VAN	4	B	100	109	Gracilaria
VAN	4	C	110	119	Gracilaria
VAN	5	A	120	129	Gracilaria
VAN	5	B	130	139	Gracilaria
VAN	5	C	140	149	Gracilaria
VAN	6	A	150	159	Gracilaria
VAN	6	B	160	169	Gracilaria
VAN	6	C	170	179	Gracilaria
VAN	7	A	180	189	Gracilaria
VAN	7	B	190	199	Gracilaria
VAN	7	C	200	209	Gracilaria
VAN	8	A	210	219	Gracilaria
VAN	8	B	220	229	Gracilaria
VAN	8	C	230	239	Gracilaria
VAN	9	A	240	249	Gracilaria
VAN	9	B	250	259	Gracilaria
VAN	9	C	260	269	Gracilaria
VAN	10	A	270	279	Gracilaria
VAN	10	B	280	289	Gracilaria
VAN	10	C	290	299	Gracilaria
VAN	11	A	300	309	Gracilaria
VAN	11	B	310	319	Gracilaria
VAN	11	C	320	329	Gracilaria
VAN	12	A	330	339	Gracilaria
VAN	12	B	340	349	Gracilaria
VAN	12	C	350	359	Gracilaria
VAN	13	A	360	369	Gracilaria
VAN	13	B	370	379	Gracilaria
VAN	13	C	380	389	Gracilaria
VAN	14	A	390	399	Gracilaria
VAN	14	B	400	409	Gracilaria
VAN	14	C	410	419	Gracilaria
VAN	15	A	420	429	Gracilaria
VAN	15	B	430	439	Gracilaria
VAN	15	C	440	449	Gracilaria
VAN	16	A	450	459	Gracilaria
VAN	16	B	460	469	Gracilaria
VAN	16	C	470	479	Gracilaria
VAN	17	A	480	489	Gracilaria
VAN	17	B	490	499	Gracilaria
VAN	17	C	500	509	Gracilaria
VAN	18	A	510	519	Gracilaria
VAN	18	B	520	529	Gracilaria
VAN	18	C	530	539	Gracilaria
VAN	19	A	540	549	Gracilaria
VAN	19	B	550	559	Gracilaria
VAN	19	C	560	569	Gracilaria
VAN	20	A	570	579	Gracilaria
VAN	20	B	580	589	Gracilaria
VAN	20	C	590	599	Gracilaria
VAN	21	A	600	609	Gracilaria
VAN	21	B	610	619	Gracilaria
VAN	21	C	620	629	Gracilaria
VAN	22	A	630	639	Gracilaria
VAN	22	B	640	649	Gracilaria
VAN	22	C	650	659	Gracilaria
VAN	23	A	660	669	Gracilaria
VAN	23	B	670	679	Gracilaria
VAN	23	C	680	689	Gracilaria
VAN	24	A	690	699	Gracilaria
VAN	24	B	700	709	Gracilaria
VAN	24	C	710	719	Gracilaria
VAN	25	A	720	729	Gracilaria
VAN	25	B	730	739	Gracilaria
VAN	25	C	740	749	Gracilaria
VAN	26	A	750	759	Gracilaria
VAN	26	B	760	769	Gracilaria
VAN	26	C	770	779	Gracilaria
VAN	27	A	780	789	Gracilaria
VAN	27	B	790	799	Gracilaria
VAN	27	C	800	809	Gracilaria
VAN	28	A	810	819	Gracilaria
VAN	28	B	820	829	Gracilaria
VAN	28	C	830	839	Gracilaria
VAN	29	A	840	849	Gracilaria
VAN	29	B	850	859	Gracilaria
VAN	29	C	860	869	Gracilaria
VAN	30	A	870	879	Gracilaria
VAN	30	B	880	889	Gracilaria
VAN	30	C	890	899	Gracilaria
VAN	31	D	900	909	Green and Red Algae
VAN	31	E	910	919	Green and Red Algae
VAN	31	F	920	929	Green and Red Algae
