Site	Sample	Letter 	Start	End	Obs
VIE	1	A	0	9	Gracilaria
VIE	1	A	10	19	Gracilaria
VIE	1	B	20	29	Gracilaria
VIE	2	A	30	39	Gracilaria
VIE	2	B	40	49	Gracilaria
VIE	2	A	50	59	Gracilaria
VIE	3	A	60	69	Gracilaria
VIE	3	B	70	79	Gracilaria
VIE	3	C	80	89	Gracilaria
VIE	4	A	90	99	Gracilaria
VIE	4	B	100	109	Gracilaria
VIE	4	C	110	119	Gracilaria
VIE	5	A	120	129	Gracilaria
VIE	5	B	130	139	Gracilaria
VIE	5	C	140	149	Gracilaria
VIE	6	A	150	159	Gracilaria
VIE	6	B	160	169	Gracilaria
VIE	6	C	170	179	Gracilaria
VIE	7	A	180	189	Gracilaria
VIE	7	B	190	199	Gracilaria
VIE	7	C	200	209	Gracilaria
VIE	8	A	210	219	Gracilaria
VIE	8	B	220	229	Gracilaria
VIE	8	C	230	239	Gracilaria
VIE	9	A	240	249	Gracilaria
VIE	9	B	250	259	Gracilaria
VIE	9	C	260	269	Gracilaria
VIE	10	A	270	279	Gracilaria
VIE	10	B	280	289	Gracilaria
VIE	10	C	290	299	Gracilaria
VIE	11	A	300	309	Gracilaria
VIE	11	B	310	319	Gracilaria
VIE	11	C	320	329	Gracilaria
VIE	12	A	330	339	Gracilaria
VIE	12	B	340	349	Gracilaria
VIE	12	C	350	359	Gracilaria
VIE	13	A	360	369	Gracilaria
VIE	13	B	370	379	Gracilaria
VIE	13	C	380	389	Gracilaria
VIE	14	A	390	399	Gracilaria
VIE	14	B	400	409	Gracilaria
VIE	14	C	410	419	Gracilaria
VIE	15	A	420	429	Gracilaria
VIE	15	B	430	439	Gracilaria
VIE	15	C	440	449	Gracilaria
VIE	16	A	450	459	Gracilaria
VIE	16	B	460	469	Gracilaria
VIE	16	C	470	479	Gracilaria
VIE	17	A	480	489	Gracilaria
VIE	17	B	490	499	Gracilaria
VIE	17	C	500	509	Gracilaria
VIE	18	A	510	519	Gracilaria
VIE	18	B	520	529	Gracilaria
VIE	18	C	530	539	Gracilaria
VIE	19	A	540	549	Gracilaria
VIE	19	B	550	559	Gracilaria
VIE	19	C	560	569	Gracilaria
VIE	20	A	570	579	Gracilaria
VIE	20	B	580	589	Gracilaria
VIE	20	C	590	599	Gracilaria
VIE	21	A	600	609	Gracilaria
VIE	21	B	610	619	Gracilaria
VIE	21	C	620	629	Gracilaria
VIE	22	A	630	639	Gracilaria
VIE	22	B	640	649	Gracilaria
VIE	22	C	650	659	Gracilaria
VIE	23	A	660	669	Gracilaria
VIE	23	B	670	679	Gracilaria
VIE	23	C	680	689	Gracilaria
VIE	24	A	690	699	Gracilaria
VIE	24	B	700	709	Gracilaria
VIE	24	C	710	719	Gracilaria
VIE	25	A	720	729	Gracilaria
VIE	25	B	730	739	Gracilaria
VIE	25	C	740	749	Gracilaria
VIE	26	A	750	759	Gracilaria
VIE	26	B	760	769	Gracilaria
VIE	26	C	770	779	Gracilaria
VIE	27	A	780	790	Gracilaria
VIE	27	B	791	799	Gracilaria
VIE	27	C	800	809	Gracilaria
VIE	28	A	810	819	Gracilaria
VIE	28	B	820	829	Gracilaria
VIE	28	C	830	839	Gracilaria
VIE	29	D	840	849	Gracilaria
VIE	29	E	850	859	Gracilaria
VIE	29	E	860	869	Gracilaria
VIE	30	F	870	879	Gracilaria
VIE	30	F	880	889	Gracilaria
VIE	30	F	890	900	Gracilaria
VIE	31	G	901	909	Fucus sp.
VIE	31	H	910	919	Fucus sp.
VIE	31	I	920	929	Fucus sp.
VIE	32	G	930	939	Fucus sp.
VIE	32	H	940	949	Fucus sp.
VIE	32	I	950	959	Fucus sp.
VIE	33	G	960	969	Fucus sp.
VIE	33	H	970	979	Fucus sp.
VIE	33	I	980	989	Fucus sp.
VIE	34	G	990	999	Fucus sp.
VIE	34	F	1000	1009	Fucus sp.
VIE	34	F	1010	1019	Fucus sp.
