Wavelength	ABBE00134.asd
325	-1,48057602615226E-02 
326	 7,67732420624983E-02 
327	 0,130214866360502 
328	 7,99190794570863E-02 
329	 0,125135602133574 
330	 0,185549731386142 
331	 0,172924745420726 
332	 0,135298881095929 
333	 0,11137312300103 
334	 0,155971367575035 
335	 0,16751633503267 
336	 0,149034303833958 
337	 0,230717061621189 
338	 0,273385770710786 
339	 0,156468549253753 
340	 0,14249394327042 
341	 0,195950539282866 
342	 0,092405360276493 
343	 7,67853758985308E-02 
344	 0,167217483107088 
345	 0,125942696004539 
346	 0,073745761847015 
347	 0,131614340960961 
348	 0,138364600418556 
349	 0,100562848628553 
350	 0,103674506950249 
351	 0,118251264362952 
352	 0,129380900867875 
353	 0,121085942295384 
354	 8,47329088139522E-02 
355	 2,05026074691962E-02 
356	-8,27240353327356E-04 
357	 2,74389509991712E-02 
358	 0,101568571411793 
359	 0,125986859884436 
360	 7,18916296618886E-02 
361	 7,40371938565733E-02 
362	 0,101336841369286 
363	 0,090072209956297 
364	 7,07506322045969E-02 
365	 5,35130929054587E-02 
366	 4,71158253692043E-02 
367	 6,12035907495591E-02 
368	 9,22415878053409E-02 
369	 7,56280272933528E-02 
370	 3,62026296332274E-02 
371	 3,38596401804195E-02 
372	 5,41485426437209E-02 
373	 0,079319237219944 
374	 5,16361338202526E-02 
375	 4,08216122007617E-02 
376	 9,24891894728733E-02 
377	 9,37690700724251E-02 
378	 6,00355172282742E-02 
379	 5,89680146762899E-02 
380	 5,64378607495367E-02 
381	 0,050473858886043 
382	 0,083225923906089 
383	 0,105108237666878 
384	 7,47661742888473E-02 
385	 4,25745995988711E-02 
386	 2,55940832372978E-02 
387	 3,86238658939607E-02 
388	 5,06563857137422E-02 
389	 4,95775433088364E-02 
390	 4,63384627642773E-02 
391	 0,044717266992119 
392	 4,80741148344994E-02 
393	 0,055632356431954 
394	 6,21651238196825E-02 
395	 5,34467392201069E-02 
396	 4,70258897312003E-02 
397	 5,19361388302134E-02 
398	 0,061126182153503 
399	 6,62542434435353E-02 
400	 5,65847894536996E-02 
401	 4,70871014087747E-02 
402	 4,42270615372983E-02 
403	 5,56793497216217E-02 
404	 6,08851623110874E-02 
