Wavelength	AURAY00776.asd
325	 2,61280775436668E-03 
326	 0,154556967196372 
327	 0,176062070922287 
328	 2,99257311495587E-02 
329	 0,133210662168724 
330	 0,244227390844907 
331	 0,206940813024853 
332	 0,118093143016207 
333	 4,95646668664548E-02 
334	 0,1922891076503 
335	 0,249697008640832 
336	 0,160575001188764 
337	 5,01738572548771E-02 
338	 7,31891261869665E-03 
339	 0,103312395676439 
340	 8,59998480965656E-02 
341	 1,12357359836013E-02 
342	 9,27472993226285E-02 
343	 0,141216114472124 
344	 0,100624899065672 
345	 7,75145344029346E-02 
346	 0,069058705514216 
347	 6,18117194736123E-02 
348	 4,16709283515107E-02 
349	 2,75733976848185E-02 
350	 7,36494759080847E-02 
351	 7,94223886752791E-02 
352	 2,37641946101208E-02 
353	-7,26871994223013E-03 
354	-8,2551965611719E-04 
355	 4,40142104560577E-02 
356	 4,96729661689384E-02 
357	 1,72252665562211E-02 
358	-6,97613717090392E-03 
359	-0,024983396080518 
360	-3,29947311399813E-02 
361	 4,36012234373144E-03 
362	 5,57608651812928E-02 
363	 7,74836553796025E-02 
364	 6,33791304856173E-02 
365	 2,92510847353021E-02 
366	 3,75373766537437E-02 
367	 3,45151610120548E-02 
368	-5,20101326743112E-03 
369	 1,74645147252691E-02 
370	 6,30783278918997E-02 
371	 4,78343855959841E-02 
372	 1,82103638136805E-02 
373	-1,39490468071731E-03 
374	 3,10960165256702E-02 
375	 5,66990272219166E-02 
376	 3,50827032157486E-02 
377	 9,80842329538301E-03 
378	 2,47030329634201E-03 
379	 4,28838663063327E-02 
380	 5,59226078531025E-02 
381	 3,02319333606956E-02 
382	 0,018266982446055 
383	 1,78315724404736E-02 
384	 2,27896231591357E-02 
385	 3,15877512338358E-02 
386	 0,04109539592663 
387	 4,62854943032814E-02 
388	 4,84933671861725E-02 
389	 4,78222995398149E-02 
390	 0,043246263051153 
391	 3,02987484860719E-02 
392	 4,23928839470527E-03 
393	 4,00708829525467E-03 
394	 2,41704610407059E-02 
395	 2,58290712535831E-02 
396	 2,27848962443103E-02 
397	 2,30081153831218E-02 
398	 2,94347163317703E-02 
399	 3,84436073707025E-02 
400	 4,54125295809982E-02 
401	 4,07802604115691E-02 
402	 2,64488474133999E-02 
403	 1,79741965320953E-02 
404	 1,53279892777231E-02 
405	 1,78736101646215E-02 
406	 2,59681097551516E-02 
407	 3,26383910785436E-02 
408	 2,32196344273358E-02 
409	 2,15925032964809E-02 
410	 2,99589523546212E-02 
411	 2,31581744323653E-02 
412	 1,64723948296654E-02 
413	 2,40893005119848E-02 
414	 2,19773808176433E-02 
415	 1,44487340534579E-02 
416	 2,36656279339206E-02 
417	 3,11539690852658E-02 
418	 2,96658243276222E-02 
419	 2,55193553658955E-02 
420	 0,019954138034044 
421	 1,38086188946023E-02 
422	 1,28600997835422E-02 
423	 1,69602920384953E-02 
424	 2,20495838260703E-02 
425	 2,23906408800032E-02 
426	 1,61589235696049E-02 
427	 1,88323925522048E-02 
428	 0,026533714020833 
429	 2,91516517606479E-02 
430	 2,69264809280236E-02 
431	 2,17853943646806E-02 
432	 2,28168298204208E-02 
433	 2,37078498192135E-02 
434	 1,90264345258524E-02 
435	 0,018031900371716 
436	 0,020655659661023 
437	 2,26912299356618E-02 
438	 0,023147477145423 
439	 2,21065577216858E-02 
440	 2,43442777495142E-02 
441	 2,58525768570404E-02 
442	 2,11778530165464E-02 
443	 1,88661844140915E-02 
444	 2,05536659688103E-02 
445	 2,43066201652775E-02 
446	 2,67320656130079E-02 
447	 2,56801880285056E-02 
448	 2,30912057299387E-02 
449	 2,01380387135881E-02 
450	 0,018007316624821 
451	 1,90683806049594E-02 
452	 2,27516540303015E-02 
453	 2,30195889901402E-02 
454	 2,25307466852893E-02 
455	 2,38750643714628E-02 
456	 2,44664427908775E-02 
457	 2,38164456202932E-02 
458	 0,021816351067099 
459	 2,00405797934822E-02 
460	 1,92452514582416E-02 
461	 1,86622538368676E-02 
462	 0,018690200797822 
463	 0,01993492601988 
464	 2,01561680089434E-02 
465	 1,94321484679196E-02 
466	 2,03735986801065E-02 
467	 2,06435432090502E-02 
468	 1,90234108401302E-02 
469	 0,019263467396944 
470	 2,10039614916169E-02 
471	 2,27321402669682E-02 
472	 2,23524810266382E-02 
473	 1,99879449346305E-02 
474	 2,01879538930448E-02 
475	 2,06664067538011E-02 
476	 1,91161952032106E-02 
477	 2,05041881395526E-02 
478	 0,023530697824242 
479	 2,17909564661128E-02 
480	 2,13010156581904E-02 
481	 2,39681308004305E-02 
482	 2,19893178869564E-02 
483	 1,92013725727093E-02 
484	 2,23885057089049E-02 
485	 2,33399286012575E-02 
486	 2,10954651560109E-02 
487	 2,09863265662227E-02 
488	 2,08049538242552E-02 
489	 1,90959163034184E-02 
490	 1,96554595145431E-02 
491	 2,10283445803546E-02 
492	 1,81666383078555E-02 
493	 1,74608406951682E-02 
494	 2,00706374276885E-02 
495	 1,91914132967298E-02 
496	 1,76686521197151E-02 
497	 1,92023014208097E-02 
498	 1,96410843682861E-02 
499	 1,91970287712956E-02 
500	 2,17384960461015E-02 
501	 2,29706534868889E-02 
502	 0,020765018274614 
503	 1,86637236564163E-02 
504	 1,76763475052863E-02 
505	 1,85898157652776E-02 
506	 2,01233843653891E-02 
507	 2,16945318822964E-02 
508	 2,31486475598716E-02 
509	 2,36998755213138E-02 
510	 0,022784640209586 
511	 2,22553273777394E-02 
512	 2,22877044074782E-02 
513	 2,23598372941024E-02 
514	 2,19826725798893E-02 
515	 0,021017069625487 
516	 2,01711831603119E-02 
517	 1,96521416986121E-02 
518	 1,95815994777166E-02 
519	 2,03138701117765E-02 
520	 2,16777975162012E-02 
521	 2,31378878123105E-02 
522	 2,33800001076754E-02 
523	 2,17291966832055E-02 
524	 2,15399858870077E-02 
525	 2,24427811067415E-02 
526	 2,23181921235884E-02 
527	 2,22579827714497E-02 
528	 2,23949164643153E-02 
529	 2,16201667562262E-02 
530	 2,07200201453437E-02 
531	 2,06641093363918E-02 
