Wavelength	AV0200030.asd
325	 2,65641336172894E-02 
326	 2,94646019255475E-02 
327	 0,029913404089259 
328	 2,77118329214618E-02 
329	 2,79135281886006E-02 
330	 2,88297837258473E-02 
331	 2,90976357544916E-02 
332	 2,93838028925151E-02 
333	 2,98605921984435E-02 
334	 3,07569793846825E-02 
335	 3,16260388939888E-02 
336	 3,20385402646476E-02 
337	 0,030893684150008 
338	 2,94699474823932E-02 
339	 2,90006016553653E-02 
340	 2,97407700931725E-02 
341	 3,09978444433011E-02 
342	 3,14168864007345E-02 
343	 3,04288408778873E-02 
344	 2,84756931577621E-02 
345	 2,86091540194614E-02 
346	 2,94855764343579E-02 
347	 0,02963800941752 
348	 3,07054314979239E-02 
349	 3,20050763441467E-02 
350	 3,11592749470202E-02 
351	 3,05769287230326E-02 
352	 3,09907469865731E-02 
353	 3,05582724875857E-02 
354	 2,99657207499358E-02 
355	 3,01708197541411E-02 
356	 0,031343400275492 
357	 3,26791123736173E-02 
358	 3,17056969671637E-02 
359	 0,03088807819418 
360	 3,13572796502296E-02 
361	 3,15168402087035E-02 
362	 3,11039982721531E-02 
363	 2,99962089958498E-02 
364	 3,00540175983964E-02 
365	 3,10747899289941E-02 
366	 3,08270913076027E-02 
367	 3,01739722508048E-02 
368	 2,97998253540252E-02 
369	 3,06739740551509E-02 
370	 3,18770877208504E-02 
371	 3,14881907973013E-02 
372	 3,13275444494604E-02 
373	 3,17110331007477E-02 
374	 3,15062047342833E-02 
375	 3,08858568953766E-02 
376	 3,00744722698015E-02 
377	 2,94809079541829E-02 
378	 2,94432789198161E-02 
379	 3,04629549150871E-02 
380	 3,18401457663156E-02 
381	 3,29576634578685E-02 
382	 3,23869013712817E-02 
383	 3,12020137059308E-02 
384	 3,07161420837618E-02 
385	 3,12952780290756E-02 
386	 3,24986132249767E-02 
387	 3,29830765017241E-02 
388	 3,32191484363551E-02 
389	 3,32962395096083E-02 
390	 3,27148489425515E-02 
391	 3,21211441318253E-02 
392	 3,22999687668546E-02 
393	 3,25523370050038E-02 
394	 0,03267942468521 
395	 3,26067689621796E-02 
396	 3,26378569107737E-02 
397	 3,28469137924137E-02 
398	 3,25908191822405E-02 
399	 3,24664556689783E-02 
400	 3,33550988891968E-02 
401	 3,35384989907442E-02 
402	 3,29318035974537E-02 
403	 3,25601525783054E-02 
404	 3,24799728472212E-02 
405	 0,032686901956757 
406	 0,032637682759112 
407	 3,25759764041899E-02 
408	 3,32800408756828E-02 
409	 3,34002892047781E-02 
410	 0,032765761090049 
411	 3,26706377599607E-02 
412	 3,29465431797001E-02 
413	 3,33379733612127E-02 
414	 3,34165773420811E-02 
415	 3,32318675557656E-02 
416	 0,033165156891876 
417	 3,30958083728825E-02 
418	 3,30144571289009E-02 
419	 3,30675604263814E-02 
420	 3,33418332711666E-02 
421	 3,39343505481137E-02 
422	 3,41957471912355E-02 
423	 3,39869358730231E-02 
424	 0,033362658767882 
425	 3,32107995552847E-02 
426	 0,033995723596302 
427	 3,40423150197189E-02 
428	 3,37112362701516E-02 
429	 0,03420397388411 
430	 3,47090277297132E-02 
431	 3,49183392506697E-02 
432	 3,46698267822709E-02 
433	 3,44786743439567E-02 
434	 3,47668997537177E-02 
435	 3,48608046736553E-02 
436	 3,48515095203238E-02 
437	 3,53404655507318E-02 
438	 3,54853223875269E-02 
439	 3,50902258583194E-02 
440	 3,52161976554449E-02 
441	 3,54964992788252E-02 
442	 3,53437905522456E-02 
443	 3,54365986295803E-02 
444	 0,035739490845445 
445	 3,55478288989213E-02 
446	 3,55625721211587E-02 
447	 3,61265364265364E-02 
448	 3,61425148873813E-02 
449	 3,58986192448178E-02 
450	 3,62289373506542E-02 
451	 3,65313887242106E-02 
452	 3,66282155530927E-02 
453	 3,65962815531781E-02 
454	 3,66048656619233E-02 
455	 0,036807188081762 
456	 3,70077626230169E-02 
457	 3,71044895520413E-02 
