Wavelength	BEL100053.asd
325	 0,021634490874215 
326	 1,68395891912264E-02 
327	 1,47442402934803E-02 
328	 1,61005030186327E-02 
329	 1,62917828272765E-02 
330	 0,016127059703435 
331	 1,63087489281581E-02 
332	 1,57582049176556E-02 
333	 1,50975766496617E-02 
334	 1,59432753837757E-02 
335	 1,68060804233521E-02 
336	 1,71172448462026E-02 
337	 1,65086916615917E-02 
338	 1,62725940645173E-02 
339	 1,73829153838931E-02 
340	 1,69026801329405E-02 
341	 1,53160554206845E-02 
342	 1,46383477829841E-02 
343	 1,50732599459484E-02 
344	 1,63807486372273E-02 
345	 1,70455969071235E-02 
346	 1,67835027650709E-02 
347	 1,55543946750078E-02 
348	 1,59739595978312E-02 
349	 1,71214219243753E-02 
350	 1,51891737785893E-02 
351	 1,48014936221405E-02 
352	 1,71173934882918E-02 
353	 1,71123591524013E-02 
354	 1,62216480964288E-02 
355	 1,66688973785692E-02 
356	 0,017002020835511 
357	 1,69164565363117E-02 
358	 1,63223133353154E-02 
359	 1,62651935628993E-02 
360	 1,70512445172927E-02 
361	 1,66912787944385E-02 
362	 1,61469257586653E-02 
363	 1,70149333646831E-02 
364	 1,73013973394631E-02 
365	 1,68444632071588E-02 
366	 1,67645317506287E-02 
367	 1,68890456501587E-02 
368	 1,71166983946803E-02 
369	 1,74727076644035E-02 
370	 1,79029409064742E-02 
371	 0,018323229089706 
372	 1,86825982023457E-02 
373	 1,88196228840837E-02 
374	 1,80877988451073E-02 
375	 1,78412482726613E-02 
376	 1,90461559927063E-02 
377	 1,91115495625052E-02 
378	 0,01822665929505 
379	 1,78945738359505E-02 
380	 1,75602225325158E-02 
381	 1,73609145724438E-02 
382	 1,88197216512197E-02 
383	 2,01017945417349E-02 
384	 1,91979359411514E-02 
385	 1,78371097753525E-02 
386	 0,01695039381325 
387	 1,77925730696791E-02 
388	 1,85273291047209E-02 
389	 1,84237046369987E-02 
390	 1,80256498547276E-02 
391	 1,79317854746824E-02 
392	 1,87850391787741E-02 
393	 1,90285033076032E-02 
394	 0,018584670592982 
395	 1,84334036643447E-02 
396	 1,81246242655919E-02 
397	 1,75987787044219E-02 
398	 1,76764701118216E-02 
399	 1,80774856703444E-02 
400	 1,83955003057342E-02 
401	 1,81711639017207E-02 
402	 1,76321921556253E-02 
403	 1,79524081090083E-02 
404	 1,84870811370111E-02 
405	 1,87442417641525E-02 
