Wavelength	BLAVET00359.asd
325	 0,212687530583991 
326	 0,218910943048169 
327	 0,202669743659359 
328	 0,167446691659304 
329	 9,31771358492212E-02 
330	 5,34625348872439E-02 
331	 0,107110918403295 
332	 4,48988091532257E-02 
333	-6,10023138882527E-02 
334	 3,21712969066363E-02 
335	 9,89121650573025E-02 
336	 9,33798837832944E-02 
337	 9,69202406496999E-02 
338	 5,03362276096592E-02 
339	-8,93959971053858E-02 
340	-8,07015598944981E-02 
341	 2,72916177852835E-02 
342	 0,069929178470255 
343	 5,15123130229448E-02 
344	-2,17352483146746E-02 
345	-5,08201261877042E-02 
346	-3,64421924129663E-02 
347	 1,12952663734381E-03 
348	-5,51664220188696E-03 
349	-3,58127558325124E-02 
350	-4,14968022952574E-03 
351	 2,52412392492761E-02 
352	 0,027807261810753 
353	 1,11915953032043E-02 
354	-2,41011995341285E-03 
355	 7,49000104807273E-03 
356	 1,66275359383689E-02 
357	 2,32868000499407E-02 
358	 4,26181394541249E-02 
359	 3,54203733959053E-02 
360	-7,76047143357869E-03 
361	-7,00963481979059E-03 
362	 2,07161900178857E-02 
363	 4,22974123208874E-02 
364	 4,62193233433938E-02 
365	 3,14576498357953E-02 
366	 1,15078945033044E-02 
367	 9,73818271603931E-03 
368	 3,25166124339712E-02 
369	 2,73554533572914E-02 
370	 5,76617070080729E-03 
371	 3,33442012909172E-03 
372	-8,3119790513769E-03 
373	-2,34569504000353E-02 
374	 1,68070966049105E-02 
375	 3,85129275820933E-02 
376	-5,33060459334833E-03 
377	 1,83556090952311E-03 
378	 3,98529994278421E-02 
379	 2,91794333537831E-02 
380	 2,38312937853976E-02 
381	 3,23146792088664E-02 
382	 7,0521451241707E-03 
383	-1,12219607499411E-02 
384	 1,76956143159311E-02 
385	 3,61822888606378E-02 
386	 3,32370992334202E-02 
387	 4,54605034010732E-03 
388	-6,94877356357454E-03 
389	 1,35080293942445E-02 
390	 0,01991409207082 
391	 1,61214626768584E-02 
392	 0,0118403918223 
393	 5,41049224715533E-03 
394	-7,9755376046459E-04 
395	 2,78117818869059E-04 
396	 4,70600888717446E-03 
397	 9,79081704789418E-03 
398	 1,28041054047299E-02 
399	 1,47082478881719E-02 
400	 1,75332287890025E-02 
401	 2,12591152767384E-02 
402	 2,33519022042273E-02 
403	 1,41461352254851E-02 
404	 7,44167048146435E-03 
405	 1,20514833972377E-02 
406	 1,80135760862787E-02 
407	 2,22153818341279E-02 
408	 2,26512452286902E-02 
409	 1,99001334472505E-02 
410	 1,49324262372957E-02 
411	 9,09145289202588E-03 
412	 8,77677372527672E-03 
413	 1,86565006235713E-02 
414	 1,84810305663251E-02 
415	 1,02678012284554E-02 
416	 7,51227279549383E-03 
417	 8,50444853544872E-03 
418	 1,16822549290573E-02 
419	 1,01802203477982E-02 
420	 8,46557807356968E-03 
421	 1,28665410254634E-02 
422	 0,013654075251671 
423	 1,07477616143989E-02 
424	 1,08010066047801E-02 
425	 1,35898255055091E-02 
426	 1,79815036540781E-02 
427	 1,55948749927331E-02 
428	 1,06656359469375E-02 
429	 1,29783854049393E-02 
430	 1,29650554420193E-02 
431	 9,59392163109883E-03 
432	 1,03601333699905E-02 
433	 1,32969316490625E-02 
434	 1,62076974982908E-02 
435	 1,75751932345776E-02 
436	 1,72504817713226E-02 
