Wavelength	CAMFROU00649.asd
325	 0,071619570325794 
326	 0,250560037802552 
327	 0,261900695819632 
328	 0,173644678872996 
329	 0,286853675220468 
330	 0,330359551531763 
331	 0,122129668114762 
332	 9,19324792938412E-02 
333	 0,222796129245669 
334	 0,263888643282093 
335	 0,197639637470224 
336	 0,046955640342413 
337	-7,77524719921089E-02 
338	-0,061786590121199 
339	 0,137191171700808 
340	 0,10617764562834 
341	-7,65702526181777E-02 
342	 2,93607452618053E-02 
343	 7,88620675943748E-02 
344	 1,87704230604265E-02 
345	 9,49433456079142E-02 
346	 0,165900165012832 
347	 0,136379153154128 
348	 0,103146791775679 
349	 8,15697281563491E-02 
350	 7,93557231762064E-02 
351	 5,24258499411221E-02 
352	 0,003498049334497 
353	 7,25370028908769E-02 
354	 0,149748320201653 
355	 0,118810257011142 
356	 8,30016067015139E-02 
357	 6,35232091085956E-02 
358	 0,054838901750908 
359	 7,31175543091487E-02 
360	 0,109904733973594 
361	 9,72200667164813E-02 
362	 5,55486681246622E-02 
363	 2,48994002736198E-02 
364	 1,68269997342546E-02 
365	 3,00847986383652E-02 
366	 5,49687205828527E-02 
367	 5,93065494416993E-02 
368	 2,93345643112982E-02 
369	 4,27330075313736E-02 
370	 7,66637817834547E-02 
371	 8,64424924499278E-02 
372	 7,49531225419259E-02 
373	 4,78273342805692E-02 
374	 0,027979562411856 
375	 2,07693411378191E-02 
376	 2,97262553141335E-02 
377	 4,48487352425964E-02 
378	 5,87908146439786E-02 
379	 5,92654949862846E-02 
380	 5,91724329018253E-02 
381	 6,13721747662861E-02 
382	 5,62301235437584E-02 
383	 0,054178193161244 
384	 6,37654370014491E-02 
385	 6,15635674907836E-02 
386	 4,89699333292339E-02 
387	 3,95043499082129E-02 
388	 4,25292218204337E-02 
389	 5,49809856600794E-02 
390	 4,29735690042206E-02 
391	 2,36280557763149E-02 
392	 2,19034381235097E-02 
393	 3,07358918493025E-02 
394	 4,34446008732727E-02 
395	 0,045324780757257 
396	 4,74214464052289E-02 
397	 5,34357726730604E-02 
398	 4,81715807215966E-02 
399	 3,86788592350203E-02 
400	 3,72956560644641E-02 
401	 4,21064933664781E-02 
402	 0,049051915227653 
403	 4,53447692687287E-02 
404	 4,14890055806051E-02 
405	 4,41451015308614E-02 
406	 4,41868164988461E-02 
407	 0,0437478429025 
408	 5,09696158430614E-02 
409	 4,91811912940661E-02 
410	 3,77847673095311E-02 
411	 3,70519598870448E-02 
412	 0,03716778486106 
413	 0,028800773664291 
414	 3,15932961002795E-02 
415	 0,041860668171147 
416	 4,22255945328919E-02 
417	 4,46272053581506E-02 
418	 5,09929454823169E-02 
419	 4,38252367122082E-02 
420	 3,45857380416707E-02 
421	 3,95635974857374E-02 
422	 4,47724559639457E-02 
423	 4,57380664863624E-02 
424	 3,83562256371764E-02 
425	 3,44818814418364E-02 
426	 4,01311614036023E-02 
427	 3,94814826764601E-02 
428	 3,57240084667521E-02 
429	 3,79519841337218E-02 
430	 4,27045051763371E-02 
431	 4,73841912666505E-02 
432	 4,63715476230067E-02 
433	 4,28370738120139E-02 
434	 3,99552851806812E-02 
435	 3,80714304631474E-02 
436	 3,73501392684667E-02 
437	 3,76151427880493E-02 
438	 3,89579648564604E-02 
439	 0,04082085636892 
440	 4,05319591307971E-02 
441	 3,90161088395347E-02 
442	 3,77296690446369E-02 
443	 4,00398555524198E-02 
444	 4,38388557268182E-02 
445	 3,92448969970635E-02 
446	 3,51236202171468E-02 
447	 3,66973269262747E-02 
448	 3,67419000180165E-02 
449	 3,52996869284554E-02 
450	 3,38714341576555E-02 
451	 3,68950447611945E-02 
452	 0,043085459439786 
453	 4,05316286353889E-02 
454	 3,57009080378881E-02 
455	 3,51825977590372E-02 
456	 3,94990021322246E-02 
457	 4,58602009436372E-02 
458	 4,76307324598458E-02 
459	 4,56847445413072E-02 
460	 4,11261729592225E-02 
461	 3,91410910965034E-02 
462	 3,83672546638258E-02 
463	 3,61871924325971E-02 
464	 3,70395510676732E-02 
465	 4,02668155919714E-02 
466	 3,99573270674157E-02 
467	 3,92183665571066E-02 
468	 4,02271904438661E-02 
469	 4,31166098901075E-02 
470	 4,57741722581266E-02 
471	 4,40484055419777E-02 
472	 0,042756381915622 
473	 4,33816683083835E-02 
474	 0,044749862617178 
475	 4,55542632285232E-02 
476	 4,46634920800046E-02 
477	 4,41224530193104E-02 
478	 4,39571593258573E-02 
479	 4,27161921274102E-02 
480	 4,27513964177284E-02 
481	 0,044472640914061 
482	 4,26780247387774E-02 
483	 3,99657754450668E-02 
484	 4,08898936514351E-02 
485	 4,21360746708421E-02 
486	 4,28260432464159E-02 
487	 4,33731146778171E-02 
488	 4,32282996403005E-02 
489	 4,21459370553116E-02 
490	 4,20017094250461E-02 
491	 4,26380296379971E-02 
492	 4,29545853755008E-02 
493	 4,32692835047621E-02 
494	 0,043616463083501 
495	 4,38058763600259E-02 
496	 4,41205027149887E-02 
497	 4,48652591096999E-02 
498	 4,43366188099829E-02 
499	 4,27014444718009E-02 
500	 4,13874399884177E-02 
501	 4,12278224077226E-02 
502	 4,25616701027378E-02 
503	 4,38778098158017E-02 
504	 4,46001799444251E-02 
505	 4,40998674652645E-02 
506	 4,41929978612615E-02 
507	 4,52032831780907E-02 
508	 4,60067846679102E-02 
509	 4,60397209822854E-02 
510	 4,49721293969271E-02 
511	 4,50366994663363E-02 
512	 4,62923488137514E-02 
513	 4,79592557864493E-02 
514	 4,84055147799044E-02 
515	 4,72354721396912E-02 
516	 4,71501980223548E-02 
517	 4,79779248331679E-02 
518	 4,90741668564787E-02 
519	 4,98884258496752E-02 
520	 5,02483331793312E-02 
521	 5,02301810581273E-02 
522	 5,05123932735938E-02 
523	 5,14781515171519E-02 
524	 0,051717566990755 
525	 5,14107581997035E-02 
526	 5,14346380192976E-02 
527	 5,15525008929416E-02 
528	 5,18191841908913E-02 
529	 5,29466465140008E-02 
530	 5,35356975043688E-02 
531	 5,20072694192558E-02 
532	 5,19969995565967E-02 
533	 5,34447837439255E-02 
534	 5,34153573224147E-02 
535	 5,31375241511405E-02 
536	 5,32705708743875E-02 
537	 5,30006390633941E-02 
538	 5,27532480427928E-02 
539	 5,35019750934869E-02 
540	 5,41458846266929E-02 
541	 5,41445298739931E-02 
542	 5,26420703240437E-02 
543	 5,18070813344809E-02 
544	 5,36479125852473E-02 
545	 5,47425595970942E-02 
546	 5,47457791172923E-02 
547	 5,47441065226194E-02 
548	 5,50814655070582E-02 
549	 5,58319747364701E-02 
550	 5,59640325517525E-02 
551	 5,56593833988048E-02 
552	 5,53541414610968E-02 
553	 0,055563864630102 
554	 5,63101841508151E-02 
555	 5,70580189229106E-02 
556	 5,72673533987685E-02 
557	 5,65949531827996E-02 
558	 5,65140946397835E-02 
559	 5,67609474004902E-02 
560	 0,055796759013705 
561	 5,55741264240333E-02 
562	 5,65398266265191E-02 
563	 5,62817649644461E-02 
564	 5,55366972194524E-02 
565	 5,55497045704031E-02 
566	 5,57886227576776E-02 
567	 5,60757186894212E-02 
568	 5,62489794631385E-02 
569	 5,62720213317849E-02 
570	 5,61891241249479E-02 
571	 5,66235889587243E-02 
572	 5,75044022799603E-02 
573	 5,84680581574505E-02 
574	 5,95130801690619E-02 
575	 6,04512257460542E-02 
576	 6,05587985885118E-02 
577	 6,05676324133069E-02 
578	 6,13400894405217E-02 
579	 6,23488659210531E-02 
580	 6,31484041964993E-02 
581	 6,26584485992125E-02 
582	 6,27244720166822E-02 
583	 0,064211845041075 
584	 0,064863937186719 
585	 6,49693660569373E-02 
586	 6,55564120008967E-02 
587	 0,066280535401231 
588	 6,69193026429375E-02 
589	 6,68807223468559E-02 
590	 6,67980637571494E-02 
591	 6,72820785344709E-02 
592	 6,80558430881885E-02 
593	 0,068855292874754 
594	 6,93085046312659E-02 
595	 6,88290428289222E-02 
596	 6,75092746223056E-02 
597	 6,79297865704173E-02 
598	 6,91261471830682E-02 
599	 6,92659353464178E-02 
600	 6,90770128926165E-02 
601	 6,88209562333577E-02 
602	 6,88464017196827E-02 
603	 6,88215108995214E-02 
604	 6,85199902823955E-02 
605	 6,85617241501275E-02 
606	 6,88321187531804E-02 
607	 6,89584839869236E-02 
608	 6,81666479456892E-02 
609	 6,65768547803047E-02 
610	 6,67652494211048E-02 
611	 0,067488243516874 
612	 6,69561943784237E-02 
613	 0,066308613743799 
614	 6,58768916824388E-02 
615	 6,58337199824933E-02 
616	 6,58656421791962E-02 
617	 6,57540732972938E-02 
618	 6,55306325146382E-02 
619	 6,52910018465661E-02 
620	 6,51994321928536E-02 
621	 0,065273910068801 
622	 6,54516756615413E-02 
623	 6,53175931932967E-02 
624	 6,54639420248295E-02 
625	 0,066447503481941 
626	 0,066243452018446 
627	 6,51843798763352E-02 
628	 6,54524963524772E-02 
629	 6,62649673491621E-02 
630	 6,70876084424936E-02 
631	 6,69349017196282E-02 
632	 6,66953566551617E-02 
633	 0,068046072245118 
634	 0,068603852164171 
635	 6,80367141394031E-02 
636	 6,79372541118065E-02 
637	 6,85130501327893E-02 
638	 6,98183029731281E-02 
639	 7,07490029311638E-02 
640	 0,071130116559107 
641	 7,11510702276428E-02 
642	 7,09808454900703E-02 
643	 7,08272318506396E-02 
644	 7,12422185568958E-02 
645	 7,17324740443595E-02 
646	 7,16010798870507E-02 
647	 7,15683803896653E-02 
648	 7,17146508185932E-02 
649	 0,071764294958276 
650	 7,13153525936114E-02 
651	 7,02480959290231E-02 
652	 7,01136757433196E-02 
653	 7,04505006176303E-02 
654	 6,98416186651552E-02 
655	 6,91323520759606E-02 
656	 6,85539600782136E-02 
657	 0,068014338926008 
658	 6,69502185516283E-02 
659	 6,48511531489467E-02 
660	 6,33797687529688E-02 
