Wavelength	CHO-GIL00059.asd
325	 0,193962544299004 
326	 0,108638615382165 
327	 5,62827553063312E-02 
328	 0,045110087427859 
329	-2,82532978157871E-02 
330	-8,73188979736069E-02 
331	-2,14707818382184E-02 
332	 0,124297429107443 
333	 0,218145550083802 
334	 0,101691457292181 
335	-6,80953352433497E-02 
336	-0,116247719569812 
337	-2,83316182755046E-03 
338	 8,03282748373072E-02 
339	 1,76813698450994E-02 
340	-2,68065930185246E-02 
341	-3,36812932517932E-02 
342	-4,26494543085193E-02 
343	-0,022975841319134 
344	 2,07693828995391E-02 
345	 3,77269520225776E-02 
346	 4,61681827860726E-02 
347	 6,16353143048207E-02 
348	 5,36631351126217E-02 
349	 3,59471934478638E-02 
350	 4,82537600603412E-02 
351	 4,68786548927652E-02 
352	 1,78452795029537E-02 
353	-8,09605696495252E-03 
354	-1,15460064846238E-02 
355	 2,02722582718395E-02 
356	 3,66925896741923E-02 
357	 2,67417778939746E-02 
358	-1,20468243980034E-02 
359	-1,87912630229861E-02 
360	 2,40399933557213E-02 
361	 4,54459601198941E-02 
362	 4,53670920468343E-02 
363	 3,25362213513621E-02 
364	 3,03946837082869E-02 
365	 4,08832702074613E-02 
366	 4,88193150562245E-02 
367	 5,02072436337719E-02 
368	 0,042123466523132 
369	 2,73029162655464E-02 
370	 1,79662042884789E-02 
371	 3,24714439746739E-02 
372	 6,54349866011164E-02 
373	 9,76105714390845E-02 
374	 6,51859335640891E-02 
375	 2,76265728598528E-02 
376	 3,05459621553581E-02 
377	 2,75731272400637E-02 
378	 1,59779754840508E-02 
379	 4,71875369993188E-03 
380	 4,47294438850331E-03 
381	 1,73492401240028E-02 
382	 0,032349170658926 
383	 0,045358797813365 
384	 5,41995737769843E-02 
385	 4,34137299471438E-02 
386	 2,08420724154242E-02 
387	 7,00910361888003E-03 
388	 3,44300627215113E-03 
389	 1,15583634135863E-02 
390	 2,87447723963083E-02 
391	 4,33886106511142E-02 
392	 4,25034580045717E-02 
393	 0,039513755363435 
394	 3,77805145314076E-02 
395	 3,80515383338126E-02 
396	 3,64450781705697E-02 
397	 3,18135665141091E-02 
398	 3,04361470750353E-02 
399	 3,30223750781623E-02 
400	 3,98042461996042E-02 
401	 4,21460805731853E-02 
402	 3,82475892902993E-02 
403	 2,95866985736349E-02 
404	 0,027945159417041 
405	 0,038708227960696 
406	 3,10781196326187E-02 
407	 1,64720311917519E-02 
408	 0,025912798261523 
409	 0,035974489334936 
410	 3,99138730310657E-02 
411	 4,18517062946224E-02 
412	 4,15690358785557E-02 
413	 0,038789961009738 
414	 3,17624604927165E-02 
415	 2,58646784917258E-02 
416	 0,035805202610743 
417	 3,95800434184839E-02 
418	 3,12481395159742E-02 
419	 3,52037705303346E-02 
420	 4,09670785198991E-02 
421	 3,29505193203771E-02 
422	 2,63763362963939E-02 
423	 2,54550633533052E-02 
424	 3,24373794765643E-02 
425	 3,67832441234958E-02 
426	 0,032806143252059 
427	 3,08215909534685E-02 
428	 3,16966191373815E-02 
429	 3,46022221469768E-02 
430	 3,61868357532959E-02 
431	 3,56270078936308E-02 
432	 0,035186346734147 
433	 3,30141407377849E-02 
434	 2,79509396341272E-02 
435	 0,029033309831587 
436	 3,44444434737204E-02 
437	 3,60662940726057E-02 
438	 3,43522403398955E-02 
439	 3,05092562798979E-02 
440	 3,20582311104636E-02 
441	 3,47062153251867E-02 
442	 3,22504407918489E-02 
443	 2,95348819607266E-02 
444	 2,81649826999766E-02 
445	 2,93594240914189E-02 
446	 3,02010644444321E-02 
447	 2,89071697564147E-02 
448	 2,66805148768266E-02 
449	 2,62697039264542E-02 
450	 3,28259102450368E-02 
451	 3,39214508960281E-02 
452	 2,82041224494115E-02 
453	 2,92602300873435E-02 
454	 3,15092956681568E-02 
455	 2,96557922477574E-02 
456	 3,12673167035207E-02 
457	 3,49195582276514E-02 
458	 3,32290401448221E-02 
459	 3,10203650305784E-02 
460	 3,06342198074899E-02 
461	 3,29937038488793E-02 
462	 3,56384134390355E-02 
463	 3,53849841689958E-02 
464	 3,34364251876589E-02 
465	 3,12698191397895E-02 
466	 0,032834975207008 
467	 3,36854245860745E-02 
468	 3,12631829606513E-02 
469	 3,13588249118531E-02 
470	 3,23949377467775E-02 
471	 2,94390322223924E-02 
472	 2,74618527991576E-02 
473	 2,80251006136301E-02 
474	 3,00244335310459E-02 
475	 3,22673278167462E-02 
476	 3,35816051408024E-02 
477	 3,37057090188796E-02 
478	 0,032595359488278 
479	 3,01206126224352E-02 
480	 2,79995208686636E-02 
481	 2,74509827752783E-02 
482	 3,01173478900384E-02 
483	 3,29380221134219E-02 
484	 3,13865633224646E-02 
485	 3,05534508411286E-02 
486	 3,13215229991983E-02 
487	 3,16507315448455E-02 
488	 3,09316483073759E-02 
489	 2,89908148848927E-02 
490	 2,88842771743261E-02 
491	 3,00907005713963E-02 
492	 3,00945479625627E-02 
493	 3,08809399915649E-02 
494	 3,25379921154373E-02 
495	 3,20351040323946E-02 
496	 3,11556610312758E-02 
497	 3,21049491798484E-02 
498	 3,30258253318175E-02 
499	 3,32296105930934E-02 
500	 3,20599863791656E-02 
501	 3,03635515201073E-02 
502	 2,87943630264867E-02 
503	 2,79064999111279E-02 
504	 2,82703382250343E-02 
505	 3,07600679653128E-02 
506	 3,30581491569555E-02 
507	 3,40452018436534E-02 
508	 0,032751154279534 
509	 3,11294903260499E-02 
510	 0,030993827238637 
511	 3,18735841556669E-02 
512	 3,31067966844827E-02 
513	 0,033538301350614 
514	 3,25904111799436E-02 
515	 3,05015392024175E-02 
516	 3,05173131584627E-02 
517	 3,16743653422674E-02 
518	 3,22080310116782E-02 
519	 3,17240646731602E-02 
520	 3,05828039136045E-02 
521	 3,05169280508114E-02 
522	 3,10951979196764E-02 
523	 3,18844056603551E-02 
524	 3,20065428657684E-02 
525	 3,16436108647056E-02 
526	 3,16931597627412E-02 
527	 3,09594151147932E-02 
528	 2,94871197458052E-02 
529	 2,95944966554101E-02 
530	 3,03408841843862E-02 
531	 3,04576810827256E-02 
532	 3,07138422319996E-02 
533	 3,10871413372133E-02 
534	 3,11033281758799E-02 
535	 3,08978708521937E-02 
536	 3,05953356671086E-02 
537	 3,04456281064229E-02 
538	 3,05857820133255E-02 
539	 3,12422425437155E-02 
540	 0,031464509958834 
541	 3,10761390733351E-02 
542	 3,08027084774882E-02 
543	 3,08084908309302E-02 
544	 3,11917834805471E-02 
545	 3,14715221011661E-02 
546	 0,031574692839932 
547	 3,16154634679352E-02 
548	 3,17526342325783E-02 
549	 3,19581207509906E-02 
550	 3,14238996293555E-02 
551	 3,06657430820573E-02 
552	 3,05711984756041E-02 
553	 3,11486686618141E-02 
554	 3,20318859596277E-02 
555	 3,17316945716196E-02 
556	 3,14823012386009E-02 
557	 3,22337360262754E-02 
558	 3,21302794725188E-02 
559	 3,13223607907684E-02 
560	 3,08396503688517E-02 
561	 3,13917911330282E-02 
562	 3,27480171319703E-02 
563	 3,13700545294693E-02 
564	 2,94701297098403E-02 
565	 3,03283789502992E-02 
566	 3,14640314845256E-02 
567	 3,19505765852766E-02 
568	 0,030798758670035 
569	 3,00487316131278E-02 
570	 3,10136509321351E-02 
571	 0,031491091178356 
572	 3,14672609364447E-02 
573	 3,17292682343848E-02 
574	 3,17938824936013E-02 
575	 3,15719922247803E-02 
576	 3,13837168591884E-02 
577	 3,14062311304552E-02 
578	 3,17940999062611E-02 
579	 3,20073924900366E-02 
