Wavelength	GOOSE00003.asd
325	-3,06255759643818E-02 
326	 9,01365415831185E-04 
327	-0,057424228957426 
328	-0,210321652475674 
329	-0,218889432456487 
330	-0,181954267953601 
331	-0,180121841745178 
332	-0,213685368887755 
333	-0,250068368054538 
334	-0,243377984324273 
335	-0,197906616083291 
336	-0,138607114078508 
337	-0,125704827465252 
338	-0,113020441402344 
339	-6,79924859661136E-02 
340	-2,81702783245041E-02 
341	-3,22747029671612E-04 
342	 1,41017546166277E-02 
343	 2,24695173890822E-02 
344	 2,05573679718918E-02 
345	-2,13388519412574E-02 
346	-3,63961007983525E-02 
347	 2,95683305809034E-02 
348	 0,013091735848801 
349	-0,056583745673262 
350	-5,41604550520328E-02 
351	-2,74202272486395E-02 
352	 1,51807327780741E-03 
353	 1,22567908076234E-02 
354	-2,30729724274147E-03 
355	-4,38937805003855E-02 
356	-4,37646561867364E-02 
357	-1,36852409198492E-02 
358	-2,51989725248105E-02 
359	-3,19197458442637E-02 
360	-1,58807099690391E-02 
361	-1,08690742334923E-02 
362	-4,34904041814627E-03 
363	 2,76033767039159E-02 
364	 1,68930818196874E-02 
365	-2,28648273675706E-02 
366	 0,011926403319109 
367	 3,41812602891603E-02 
368	-5,09366596339042E-03 
369	-3,99602697937613E-02 
370	-5,22719961958574E-02 
371	-3,37450677108008E-02 
372	-2,71120267261736E-02 
373	-3,29253478670744E-02 
374	 5,50504822068439E-03 
375	 3,65907828183998E-02 
376	 2,65810400551197E-02 
377	 6,92949146413494E-03 
378	-1,17180447787023E-02 
379	-1,92868143143656E-02 
380	-1,29302736494266E-02 
381	 2,9572793030412E-04 
382	-1,15774197804131E-02 
383	-1,84426523040782E-02 
384	 8,84616684426048E-03 
385	 1,23357665092074E-02 
386	-4,17321221228058E-03 
387	-6,28838830909173E-03 
388	-7,50299543388928E-03 
389	-1,10190013169855E-02 
390	-8,42832101119715E-03 
391	-3,66517535700467E-03 
392	-1,52760080759183E-03 
393	 5,42461224760652E-03 
394	 1,20429594300343E-02 
395	-2,69139651016353E-03 
396	-1,34925453312452E-02 
397	-9,46176966349721E-03 
398	-1,55643567929414E-02 
399	-2,35264452659957E-02 
400	-1,71814553209997E-02 
401	-5,74833128058071E-03 
402	 3,15524340767179E-03 
403	-6,27069909035056E-03 
404	-1,37153429534033E-02 
405	-5,84284783469681E-03 
406	 1,56741451778463E-04 
407	 2,30460706320885E-03 
408	 3,20074688838018E-03 
409	-1,34458697671964E-03 
410	-8,73855434021015E-03 
411	-2,36782851141318E-03 
412	 4,87928027585555E-03 
413	 1,59733264343291E-03 
414	-2,86193223617462E-03 
415	-5,52005258335353E-03 
416	-3,72513764785396E-03 
417	-1,76793245606201E-03 
418	-1,45248434656582E-03 
419	-1,78364807463477E-03 
420	-0,002372527725561 
421	-2,87051388203656E-03 
422	-3,41307815672655E-03 
423	-3,7812060703642E-03 
424	-3,42839101262741E-03 
425	-2,17389411026864E-03 
426	-6,28621351415291E-04 
427	-4,96640153137934E-03 
428	-1,02546156983755E-02 
429	-6,81204327516474E-03 
430	-5,75559384624239E-04 
431	 4,14240736593025E-03 
432	-1,87202502931025E-03 
433	-7,55938650803286E-03 
434	-3,11498271459234E-03 
435	-2,56514730028234E-03 
436	-4,67127026833551E-03 
437	 8,3528500235735E-04 
438	 3,04514248947646E-03 
439	-9,34125657361891E-04 
440	-2,74925686057699E-04 
441	 2,56058340911257E-03 
442	 3,38088237208519E-03 
443	 3,00869973529954E-04 
444	-4,90642992187107E-03 
445	-5,14124623427457E-03 
446	-3,38971879139235E-03 
447	-1,88757827932684E-03 
448	-2,66773277853084E-03 
449	-4,2536070341261E-03 
450	-3,13562813143185E-03 
451	-4,47430093872423E-03 
452	-8,45729911596048E-03 
453	-8,99290344657591E-03 
454	-6,11524539093436E-03 
455	-5,61170672390422E-04 
456	 3,05679013890236E-03 
457	 3,82475228886627E-03 
458	 2,0733433611553E-03 
459	-1,82240511283484E-04 
460	-1,57776915864731E-03 
461	-1,32032375379319E-03 
462	 3,72553454768019E-04 
463	 3,13148969829803E-03 
464	 1,52206318239737E-03 
465	-3,58960119513089E-03 
466	-4,47426352613444E-03 
467	-3,03798773866992E-03 
468	-8,81119528834607E-04 
469	 3,65933402824627E-04 
470	-1,14677160100688E-04 
471	-3,7485658382562E-03 
472	-3,82738748237682E-03 
473	 9,202533933065E-05 
474	-1,80475406819898E-03 
475	-3,47761224119509E-03 
476	 1,14773693538798E-03 
477	 2,45768964355681E-03 
478	 5,0579478595297E-04 
479	 1,61838013604219E-03 
480	-3,21347304818598E-04 
481	-6,60658558733651E-03 
482	-6,62822566327002E-03 
483	-1,95553708345127E-03 
484	 3,64654626123741E-03 
485	 4,31415385731491E-03 
486	 1,98494917497322E-04 
487	-6,4451958103143E-04 
488	-1,92586197501992E-03 
489	-5,79706980501758E-03 
490	-2,6559444600376E-03 
491	 3,80128594819896E-03 
492	 2,26938471918806E-03 
493	-9,20358316118784E-04 
494	-3,16214964046841E-03 
495	-2,4365790723603E-03 
496	-1,52086149273114E-03 
497	-3,66948386981484E-03 
498	-4,17081456362609E-03 
499	-2,85389265706842E-03 
500	-2,61018382756842E-03 
501	-2,18414782282007E-03 
502	-1,16129253872711E-03 
503	-2,05358208945937E-03 
504	-3,11378625099225E-03 
505	-7,10213035272959E-04 
506	 1,01416148071757E-03 
507	 7,32699888384721E-04 
508	-1,54663056562148E-03 
509	-3,29512477635818E-03 
510	-2,33213936124214E-03 
511	-3,90862518766401E-04 
512	 1,26713420187433E-03 
513	 5,41447150008973E-04 
514	-3,52288118896876E-04 
515	-3,9474298199625E-04 
516	 1,26603068215653E-04 
517	 3,28862910836146E-04 
518	-9,91944839016383E-04 
519	-1,41435356386711E-03 
520	-7,87331668489277E-04 
521	-1,0497160968341E-03 
522	-1,41127020530754E-03 
523	-1,24383738870071E-03 
524	-3,99863936024735E-04 
525	 6,52692774983252E-04 
526	 9,07433279918583E-04 
527	 9,66665335836464E-04 
528	 8,87101682486693E-04 
529	-1,62783411152123E-04 
530	-1,11570468962143E-03 
531	-7,33261552623946E-04 
532	-7,35396404020264E-05 
533	 3,18828269336797E-04 
534	-4,59481914471664E-04 
535	-9,68745031768607E-04 
536	-4,03504910215848E-04 
537	 3,31429540823645E-04 
538	 6,45287532614126E-04 
539	-3,60098772857547E-04 
540	-7,19247634624215E-04 
541	-1,98246610960851E-04 
542	-1,02353340138159E-03 
543	-1,67348363788145E-03 
544	-6,49630150310408E-04 
545	 2,69365213364021E-04 
546	 4,31308151471954E-04 
547	-9,93570389873043E-04 
548	-1,89191139484422E-03 
549	-1,20959123561943E-03 
550	 2,09714546650334E-04 
551	 1,39487609842949E-03 
552	 1,06007252777132E-03 
553	 6,78748813486356E-04 
554	 4,60503170979447E-04 
555	-7,87109742837226E-04 
556	-1,44674561087171E-03 
557	-3,04219531435334E-04 
558	-1,02362605775209E-04 
559	-5,65850566144057E-04 
560	 5,40414512802859E-04 
561	 4,47140217958674E-04 
562	-1,38732284198261E-03 
563	-1,07556693863772E-03 
564	-1,79275075685523E-05 
565	-5,05338333146662E-04 
566	-7,25481545682452E-04 
567	-5,05313242374053E-04 
568	-7,82304740601604E-04 
569	-1,40460807512686E-03 
570	-2,06744400287402E-03 
571	-8,41981497077592E-04 
572	 9,66993118865469E-04 
573	-1,30822073992965E-04 
574	-1,04810425495917E-03 
575	-7,86044070627205E-04 
576	-1,18847817044188E-04 
577	 1,26026295391025E-04 
578	-8,77838920946153E-04 
579	-1,13702700712315E-03 
580	-5,92116838172008E-04 
581	-6,58489331029932E-04 
582	-5,6608387899773E-04 
583	-6,01112001078516E-05 
584	-7,0336092399612E-04 
585	-1,5946416465123E-03 
586	-8,09986078907835E-04 
587	 3,59262323906766E-05 
588	 3,09671102958029E-04 
589	-3,93677658065664E-04 
590	-1,14599103711609E-03 
591	-1,06658730700731E-03 
592	-5,51531724828499E-04 
593	-6,61475279262988E-05 
594	-7,44390347949586E-04 
595	-8,52564816299876E-04 
596	 1,06353845253326E-04 
597	-4,29610479909729E-04 
598	-1,55055530329453E-03 
599	-1,52668295784979E-03 
600	-8,54451197173228E-04 
601	-2,04570591890549E-05 
602	-3,47554468510059E-04 
603	-9,88360393317698E-04 
604	-1,19632616562124E-03 
605	-7,02007778658856E-04 
606	-5,65061756770949E-05 
607	-7,85404174186256E-04 
608	-1,2128798671523E-03 
609	-8,20524613544705E-04 
610	-6,60385248923353E-04 
611	-5,48554953687832E-04 
612	-1,54768353993221E-04 
613	-2,61385780718609E-05 
614	-1,50589814462476E-04 
615	 2,34864430944551E-05 
616	 1,87662191902684E-06 
617	-4,52608936503703E-04 
618	-4,27831455171446E-04 
619	-2,86417085947224E-04 
620	-1,09708994695562E-03 
621	-1,20740123057305E-03 
622	-3,97388591407583E-04 
623	-3,85890008883288E-04 
624	-7,57481127666997E-04 
625	-9,79561535361279E-04 
626	-1,20739951911587E-03 
627	-1,31362252274788E-03 
628	-8,68415839023077E-04 
629	-5,58528572701583E-04 
630	-6,75226932916967E-04 
631	-5,1304485387745E-04 
632	-9,73097811419835E-05 
633	 4,52269176169622E-04 
634	 6,62035047786039E-05 
635	-1,01841657684292E-03 
636	-4,43466619982939E-04 
637	 3,70543953926688E-04 
638	 1,7238945629219E-04 
639	-2,64245507408661E-04 
640	-6,7739401950262E-04 
641	-8,75206420082735E-04 
642	-4,27272535221742E-04 
643	 5,54653904461346E-04 
644	 3,29597168388188E-04 
645	-4,32327645457083E-04 
646	-6,48056994405571E-04 
647	-6,19284836266994E-04 
648	-5,25105437542419E-04 
649	-8,57625949391404E-04 
650	-9,32834698985292E-04 
651	-3,7133674224985E-04 
652	-2,05156465446984E-04 
653	-2,68956342890324E-04 
654	 1,52177323816519E-04 
655	 1,54081318178296E-04 
656	-3,10614240562612E-04 
657	 1,39758708139281E-04 
658	 4,12113278995103E-04 
659	-6,32218261018515E-04 
660	-9,34499373389275E-04 
661	-4,77037836884903E-04 
662	-6,24807021684231E-04 
663	-4,00493931250784E-04 
664	 4,10280891519485E-04 
665	-2,03230428010686E-04 
666	-1,34709031841312E-03 
667	-1,30648889412888E-03 
668	-8,03077880591224E-04 
669	-2,63620223442568E-04 
670	-6,40660047913372E-04 
671	-7,58849370405744E-04 
672	 2,12836967856799E-04 
673	 2,4284021350748E-04 
674	-4,58963389098716E-04 
675	-6,16018395420292E-04 
676	-3,31254773719144E-04 
677	 2,08487037921964E-04 
678	-3,22693583252552E-05 
679	-5,75122858283418E-04 
680	-7,48756298090083E-04 
681	-4,78880442706716E-04 
682	-2,61472670086951E-05 
