Wavelength	GRA-VIE-00145.asd
325	 0,171125507037314 
326	-6,38234321920836E-02 
327	-0,137830499500964 
328	 2,16627778460027E-02 
329	 0,191816100724914 
330	 0,33943211111749 
331	 0,300831975203444 
332	 0,241435095232977 
333	 0,195394438657453 
334	 0,166741019647032 
335	 0,12693783482778 
336	 7,97552076040491E-02 
337	 0,146959204321855 
338	 0,193905657756345 
339	 0,102655819413543 
340	 6,51167830597429E-02 
341	 7,53935212156175E-02 
342	 7,78695054460855E-02 
343	 0,068453748617139 
344	 4,83759579088673E-02 
345	 4,67217029232892E-02 
346	 5,32592813152779E-02 
347	 5,69653867085136E-02 
348	 5,23560600323606E-02 
349	 4,64291873059341E-02 
350	 6,03842659933334E-02 
351	 7,42651909155502E-02 
352	 0,079972304563256 
353	 0,051716681840465 
354	 2,67551905983658E-02 
355	 5,07436991781354E-02 
356	 5,22459678421873E-02 
357	 0,034699524498429 
358	 3,93913872459907E-02 
359	 5,76848230194541E-02 
360	 7,89394190386171E-02 
361	 6,71559262832031E-02 
362	 4,10930726532915E-02 
363	 2,99188144361447E-02 
364	 4,26731366831387E-02 
365	 6,45327854143914E-02 
366	 3,21512572748781E-02 
367	 1,69598460080799E-02 
368	 0,051246331470668 
369	 3,90243977908986E-02 
370	 9,4049253834638E-03 
371	 3,58328544978612E-02 
372	 5,40570042942599E-02 
373	 0,050108300069264 
374	 4,79867242474529E-02 
375	 4,33695616445243E-02 
376	 3,42158130076691E-02 
377	 3,69117997890342E-02 
378	 4,95131267000753E-02 
379	 6,89959778656657E-02 
380	 6,17344497955075E-02 
381	 2,74925057033877E-02 
382	 2,67331276981343E-02 
383	 3,65250107107858E-02 
384	 3,08531017925338E-02 
385	 3,51671643217251E-02 
386	 4,81513525215165E-02 
387	 5,78105921379819E-02 
388	 5,68442108525441E-02 
389	 4,46742271796564E-02 
390	 3,46879300172032E-02 
391	 3,54581131070146E-02 
392	 5,41096600411856E-02 
393	 0,050780884997045 
394	 3,07410340809863E-02 
395	 3,58506022565331E-02 
396	 3,81153286884526E-02 
397	 2,60633478403711E-02 
398	 2,89131332966415E-02 
399	 3,97589819730089E-02 
400	 4,48804544982532E-02 
401	 4,34216038665499E-02 
402	 3,63486157256541E-02 
403	 0,027285737692239 
404	 0,027051756423717 
405	 4,07144379005582E-02 
406	 4,86620142139834E-02 
407	 4,76795473038106E-02 
408	 3,56117696734968E-02 
409	 3,35298123523299E-02 
410	 0,044188962172477 
411	 4,65438400905111E-02 
412	 4,69914752990217E-02 
413	 5,18047208181557E-02 
414	 4,68570189424089E-02 
415	 3,72714071347761E-02 
416	 4,25606113483331E-02 
417	 4,72869197080436E-02 
418	 4,57240705073931E-02 
419	 4,43624982676583E-02 
420	 4,33913158945996E-02 
421	 4,22624769708271E-02 
422	 4,42296807888163E-02 
423	 4,77413738080811E-02 
424	 4,56166507277604E-02 
425	 0,04261176564227 
426	 4,15623951694062E-02 
427	 4,05047415468183E-02 
428	 4,04845958786376E-02 
429	 4,39609150005606E-02 
430	 4,57421530467683E-02 
431	 4,41065002668736E-02 
432	 3,81280710596452E-02 
433	 3,64877304049801E-02 
434	 4,58319566459263E-02 
435	 4,78669418598996E-02 
436	 4,36591114081008E-02 
437	 4,42203314799184E-02 
438	 4,63858499667589E-02 
439	 4,88157029283917E-02 
440	 5,02504472045122E-02 
441	 4,97486852717452E-02 
442	 0,046390518624259 
443	 4,54515185555089E-02 
444	 0,047041007708717 
445	 4,68885219157282E-02 
446	 4,50909732078584E-02 
447	 4,23230592744877E-02 
448	 4,40242041211171E-02 
449	 0,047471144566486 
450	 4,61235722121615E-02 
451	 4,61964094978718E-02 
452	 4,86710460249408E-02 
453	 4,92445240854135E-02 
454	 4,88836769648125E-02 
455	 4,86628119927024E-02 
456	 4,85369850027853E-02 
457	 4,84177305985458E-02 
458	 4,77750297337628E-02 
459	 4,81520686566699E-02 
460	 4,97588893392449E-02 
461	 0,049270691508762 
462	 4,89765989928789E-02 
463	 0,052308512630033 
464	 5,33037792430038E-02 
465	 5,15808862971723E-02 
466	 5,14302236384291E-02 
467	 5,11435420951841E-02 
468	 4,99134100231408E-02 
469	 5,11055981998794E-02 
470	 5,31443368448272E-02 
471	 5,20859206017963E-02 
472	 5,06561083336247E-02 
473	 4,98203318438949E-02 
474	 4,93807165732041E-02 
475	 4,99944968519304E-02 
476	 5,21845468657152E-02 
477	 5,34925044169723E-02 
478	 5,35280653276899E-02 
479	 5,27427464273067E-02 
480	 5,25061970864715E-02 
481	 5,33760473186615E-02 
482	 0,053768156044446 
483	 5,42255693381629E-02 
484	 5,59010105693559E-02 
485	 5,49905362833189E-02 
486	 5,19619858502687E-02 
487	 5,24805782251198E-02 
488	 5,39496439289463E-02 
489	 5,44617962035634E-02 
490	 5,66682519860168E-02 
491	 5,88692480403566E-02 
492	 5,63132465341578E-02 
493	 5,40341575103384E-02 
494	 5,38462325077378E-02 
495	 5,49782906896901E-02 
496	 5,54044979286828E-02 
497	 5,30274471619873E-02 
498	 5,30385306429059E-02 
499	 5,52211527057676E-02 
500	 5,50254298635109E-02 
501	 5,51298332629772E-02 
502	 5,67978773105111E-02 
503	 5,77359961665154E-02 
504	 5,76105236208807E-02 
505	 5,62483261024472E-02 
506	 5,58822828960891E-02 
507	 5,68881978336216E-02 
508	 5,75261995825953E-02 
509	 5,76605934243555E-02 
510	 5,73317446315121E-02 
511	 5,81635281670705E-02 
512	 5,94587997875828E-02 
513	 5,86608269527072E-02 
514	 5,73531014396767E-02 
515	 5,65704411319851E-02 
516	 0,058024284289972 
517	 6,00678168463049E-02 
518	 6,02267121218039E-02 
519	 6,00745110292425E-02 
520	 6,01055852459245E-02 
521	 6,05445361756296E-02 
522	 6,12195860308787E-02 
523	 6,19272459520713E-02 
524	 6,20744184339745E-02 
525	 6,16773968189506E-02 
526	 6,07547187686237E-02 
527	 6,11065363525754E-02 
528	 0,062762217933696 
529	 6,20417500726914E-02 
530	 6,08387324026852E-02 
531	 6,15914387188829E-02 
532	 6,25913771632029E-02 
533	 6,33306137071517E-02 
534	 6,35318995756093E-02 
535	 6,34969694492607E-02 
536	 6,34804265864595E-02 
537	 6,40087465887534E-02 
538	 6,45113235146118E-02 
539	 6,37697531969019E-02 
540	 6,33317743252571E-02 
541	 6,36287676038437E-02 
542	 6,41452276312667E-02 
543	 6,46219284212873E-02 
544	 0,064864147199675 
545	 0,065732971318258 
546	 6,68164895285249E-02 
547	 6,64946461444011E-02 
548	 6,61293723787993E-02 
549	 6,63782798609596E-02 
550	 6,67937263680804E-02 
551	 6,71074121366509E-02 
552	 6,69668925784569E-02 
553	 0,067099414791144 
554	 6,75439909078254E-02 
555	 6,74494075476674E-02 
556	 6,76965648326579E-02 
557	 6,89326319246716E-02 
558	 6,96243802684283E-02 
559	 6,96912244523771E-02 
560	 6,97075361825692E-02 
561	 6,94728071444582E-02 
562	 6,90793802670659E-02 
563	 6,92068899513247E-02 
564	 6,99148104558992E-02 
565	 7,11965552538269E-02 
566	 7,13218204620511E-02 
567	 7,05166933071105E-02 
568	 7,13300305586922E-02 
569	 7,22364475009418E-02 
570	 7,22086900306749E-02 
571	 0,072247639776072 
572	 7,25941470290274E-02 
573	 7,34819426444696E-02 
574	 7,41345144949393E-02 
575	 7,42734896104233E-02 
576	 7,41710729451297E-02 
577	 0,074102017254097 
578	 7,43411562623148E-02 
579	 7,44554404742775E-02 
580	 7,43824920424844E-02 
581	 7,41983890857363E-02 
582	 7,42306208385574E-02 
583	 7,47133775912527E-02 
584	 7,58675889459248E-02 
585	 7,69897781884713E-02 
586	 7,68760058858957E-02 
587	 7,62263338604603E-02 
588	 7,56417483728678E-02 
589	 7,67015307963133E-02 
590	 7,76819414658162E-02 
591	 7,70020047709683E-02 
592	 0,076753306067828 
593	 7,69940173505753E-02 
594	 7,66773209819414E-02 
595	 7,65090317427829E-02 
596	 7,66927025190784E-02 
597	 7,63207803058609E-02 
598	 7,57982699843181E-02 
599	 7,58550141179306E-02 
600	 7,60668080843065E-02 
601	 7,63016347403368E-02 
602	 7,65444262195479E-02 
603	 7,67220794107069E-02 
604	 7,67612937510407E-02 
605	 7,64445837850245E-02 
606	 7,61407004967041E-02 
607	 7,69321836060068E-02 
608	 0,07709532851723 
609	 7,62950257153574E-02 
610	 7,67876040713211E-02 
611	 7,74442397090412E-02 
612	 7,66662213143726E-02 
613	 0,076330257514457 
614	 7,66404895868063E-02 
615	 7,66637416579555E-02 
616	 7,66851463953347E-02 
617	 7,68707905155878E-02 
618	 7,70341054621592E-02 
619	 7,72333994439122E-02 
620	 7,76844889176279E-02 
621	 7,78043803355973E-02 
622	 7,75009712698334E-02 
623	 7,73008535950015E-02 
624	 7,74412505759602E-02 
625	 7,80970615382832E-02 
626	 0,078474882169317 
627	 7,85049866631267E-02 
628	 7,85202964763237E-02 
629	 7,87456816147259E-02 
630	 7,92059815425572E-02 
631	 0,079070343197693 
632	 7,86953329581245E-02 
633	 7,87811700715139E-02 
634	 7,93545045319035E-02 
635	 8,02362770886942E-02 
636	 8,07402409341678E-02 
637	 8,07012387019226E-02 
638	 8,01077899500774E-02 
639	 8,05188108723263E-02 
640	 8,14704249147254E-02 
641	 8,08966659335159E-02 
642	 8,10058376613524E-02 
643	 8,22813559229964E-02 
644	 8,18691056406321E-02 
645	 8,12372060882019E-02 
646	 8,26050031256295E-02 
647	 8,28717080638601E-02 
648	 8,19601592336073E-02 
649	 8,24148466528189E-02 
650	 8,31360011415257E-02 
651	 8,33382942372951E-02 
652	 8,30361842611616E-02 
653	 8,24145008789118E-02 
654	 8,17483396784057E-02 
655	 8,18451914326134E-02 
656	 8,26585501275288E-02 
657	 8,25450144939634E-02 
658	 8,17479775086147E-02 
659	 8,06715374968195E-02 
660	 8,02075471664896E-02 
661	 8,02728422158569E-02 
662	 7,99580351533116E-02 
663	 0,079619967274569 
664	 7,94338474253123E-02 
665	 7,94461070077815E-02 
666	 7,93950197924126E-02 
667	 7,88744123102413E-02 
668	 7,82869396956458E-02 
669	 7,78530545631396E-02 
670	 7,78981751972116E-02 
671	 7,79359183699812E-02 
672	 7,76609179794149E-02 
673	 7,85019767394437E-02 
674	 7,97489694612759E-02 
675	 7,90598488097029E-02 
676	 7,87152672282751E-02 
677	 7,93834164320304E-02 
678	 0,07971249692955 
679	 7,98903197769132E-02 
680	 8,02632779516708E-02 
681	 8,07963200322931E-02 
682	 8,13302575041378E-02 
683	 8,12542045765944E-02 
684	 8,17826779056635E-02 
685	 0,083380861042966 
686	 8,34891854082907E-02 
687	 0,083131885375859 
688	 8,47660563684506E-02 
689	 8,59641617038675E-02 
690	 8,62615070047572E-02 
691	 8,69593894032012E-02 
692	 0,088125312946103 
693	 8,97325203734702E-02 
694	 9,11147021854883E-02 
695	 9,24106340183209E-02 
696	 9,43668562427142E-02 
697	 9,63629517774135E-02 
698	 9,81361122065302E-02 
699	 9,98227041838289E-02 
700	 0,101498640941387 
701	 0,103236327357364 
702	 0,105472385229748 
703	 0,108025065144457 
704	 0,109932852263559 
705	 0,111726224970091 
706	 0,113717576743993 
707	 0,115515221164405 
708	 0,117211241216648 
709	 0,119113920325956 
710	 0,12049884178977 
711	 0,121439751414675 
712	 0,1233416925073 
713	 0,125275566927334 
714	 0,126365726253343 
715	 0,127599500218574 
716	 0,128993597727123 
717	 0,130102615577971 
718	 0,131117585390044 
719	 0,132101451317793 
720	 0,132996574220274 
721	 0,133795601867982 
722	 0,134491414320932 
723	 0,135284474927582 
724	 0,136209193295942 
725	 0,137190551816445 
726	 0,138140417262174 
727	 0,138985083409353 
728	 0,139690835357695 
729	 0,140227198776238 
730	 0,140531242535163 
731	 0,140971024250351 
732	 0,141631906754957 
733	 0,142337887925292 
734	 0,14282516017325 
735	 0,142910100879749 
736	 0,143170573881899 
737	 0,143664455545785 
738	 0,144250397133304 
