Wavelength	GRA-VIE00427.asd
325	 0,17356443362905 
326	 0,428567469445445 
327	 0,385781199009464 
328	 7,75386320230848E-02 
329	-6,06698882847655E-03 
330	 3,28023021317268E-02 
331	 0,122609819920693 
332	 0,136139844472741 
333	 9,35163364094002E-02 
334	 7,16596168201045E-02 
335	 8,72109229206529E-02 
336	 0,123810573070389 
337	 0,147848388692207 
338	 0,142353535227599 
339	 9,63202406439324E-02 
340	 4,98130144300419E-02 
341	 2,47258336510654E-02 
342	 7,34124185988635E-02 
343	 0,11516301421544 
344	 0,124014992608356 
345	 0,100955441211008 
346	 7,62322234586848E-02 
347	 8,30685850188773E-02 
348	 3,67948667120058E-02 
349	-2,29828223646077E-02 
350	 5,27561963702865E-02 
351	 0,088858497256301 
352	 4,75037654334026E-02 
353	 3,77409899422794E-02 
354	 0,050428632995654 
355	 6,12509057842315E-02 
356	 7,26171046440511E-02 
357	 7,38260806277665E-02 
358	 3,19697290966185E-02 
359	 1,01213331285517E-02 
360	 3,39664694401517E-02 
361	 5,74652246847734E-02 
362	 6,79832403481238E-02 
363	 5,97487512238836E-02 
364	 5,00478864797248E-02 
365	 4,27865338204959E-02 
366	 3,13679080281999E-02 
367	 0,033456706283617 
368	 5,51209529983992E-02 
369	 5,18427353152942E-02 
370	 3,83555855637894E-02 
371	 4,94840887476073E-02 
372	 5,13963318058802E-02 
373	 3,92724893598365E-02 
374	 3,77228472757425E-02 
375	 0,032053844418681 
376	 1,13982342716557E-02 
377	-4,70556326502557E-03 
378	-7,18479537646334E-03 
379	 1,38521298080842E-02 
380	 3,46009689912146E-02 
381	 4,38499923694217E-02 
382	 2,71728192247962E-02 
383	 6,13293922996756E-03 
384	 3,62361409128292E-03 
385	 1,67655765430349E-02 
386	 3,28602689795773E-02 
387	 2,60965246683394E-02 
388	 1,86781167184527E-02 
389	 2,06691663253721E-02 
390	 3,44071119054742E-02 
391	 4,52016563108626E-02 
392	 3,58222326752982E-02 
393	 2,69779590973264E-02 
394	 2,37406905498222E-02 
395	 2,69798341909616E-02 
396	 2,80284793256256E-02 
397	 2,33163761238263E-02 
398	 2,11968844053128E-02 
399	 1,99783384427684E-02 
400	 1,54324957508383E-02 
401	 1,09100278457244E-02 
402	 9,34443715112087E-03 
403	 1,70379162599878E-02 
404	 2,50047784914811E-02 
405	 2,66367617298405E-02 
406	 2,39381206850924E-02 
407	 1,91728845845679E-02 
408	 1,58057708825993E-02 
409	 1,57944755793673E-02 
410	 1,82941948848038E-02 
411	 1,59255279643012E-02 
412	 1,61108458300255E-02 
413	 2,49325938333055E-02 
414	 1,91802963458705E-02 
415	 5,31845589150313E-03 
416	 1,09454247305096E-02 
417	 1,70854083580751E-02 
418	 1,71267391350963E-02 
419	 1,93830637853475E-02 
420	 2,17184609444989E-02 
421	 2,07603422142996E-02 
422	 1,69129732419453E-02 
423	 1,22199146704666E-02 
424	 1,23081974982453E-02 
425	 1,19778567123415E-02 
426	 8,81881881881882E-03 
427	 1,08775195349902E-02 
428	 0,015458219148698 
429	 1,63230349303145E-02 
430	 1,62372631667841E-02 
431	 1,62536358214771E-02 
432	 1,76135567792486E-02 
433	 1,92593607484684E-02 
434	 2,01623671461212E-02 
435	 2,00128665985754E-02 
436	 1,91174080366921E-02 
437	 1,82405622290647E-02 
438	 1,76133393170262E-02 
439	 1,77624948750088E-02 
440	 2,15067132173936E-02 
441	 2,28135753471344E-02 
442	 0,014201987509786 
443	 0,011261107867938 
444	 0,015675813269137 
445	 1,92558298676228E-02 
446	 2,11742879601954E-02 
447	 2,08367110667702E-02 
448	 1,86314809756688E-02 
449	 1,65067483211468E-02 
450	 1,75816321881618E-02 
451	 2,09911190836284E-02 
452	 2,43959668821129E-02 
453	 0,019111472643276 
454	 0,013826553184996 
455	 0,016603646234909 
456	 1,83706059528016E-02 
457	 1,86722361686322E-02 
458	 2,15356422575346E-02 
459	 2,22912791465156E-02 
460	 1,97994232803794E-02 
461	 2,04137136280169E-02 
462	 2,15678519344812E-02 
463	 1,90890378931622E-02 
464	 1,59211835538184E-02 
465	 1,41113790848442E-02 
466	 1,83365671635006E-02 
467	 2,08457886842495E-02 
468	 1,72497203780616E-02 
469	 1,79097286552352E-02 
470	 2,01171763367171E-02 
471	 0,015006732199292 
472	 1,46092211243949E-02 
473	 2,02339935641659E-02 
474	 1,83775930477276E-02 
475	 1,53968432429593E-02 
476	 1,80184951342584E-02 
477	 1,97669925044209E-02 
478	 1,99974450972324E-02 
479	 0,021094394266186 
480	 1,96239432112548E-02 
481	 0,01488662862316 
482	 1,28943938675208E-02 
483	 1,36809439150794E-02 
484	 1,62447332453792E-02 
485	 1,91704994610133E-02 
486	 2,11026879725826E-02 
487	 1,90210345721646E-02 
488	 1,80554924090833E-02 
489	 2,16016970243306E-02 
490	 2,22529744288571E-02 
491	 1,97877412161214E-02 
492	 1,57737291823007E-02 
493	 0,015313236072083 
494	 1,90905058398136E-02 
495	 1,90140231362408E-02 
496	 1,78659693002461E-02 
497	 1,94103927727244E-02 
498	 1,96675381870131E-02 
499	 1,83493575696497E-02 
500	 1,70961943208431E-02 
501	 1,66663943812061E-02 
502	 1,74795622262706E-02 
503	 1,88591328631006E-02 
504	 1,98355101447443E-02 
505	 1,89700337398308E-02 
506	 1,84163922919562E-02 
507	 1,86111723260778E-02 
508	 1,82372185622634E-02 
509	 1,79028395113692E-02 
510	 1,81687522084347E-02 
511	 1,81929597937681E-02 
512	 1,81629309377797E-02 
513	 1,90345477750828E-02 
514	 1,97113313464228E-02 
515	 1,97916871510408E-02 
516	 2,01803589016408E-02 
517	 2,03190274987548E-02 
518	 1,92828459977585E-02 
519	 1,95788260346643E-02 
520	 2,10424721004774E-02 
521	 2,05678238440559E-02 
522	 1,99910818768638E-02 
523	 2,05662396132279E-02 
524	 0,020265153670933 
525	 1,97110244937035E-02 
526	 2,13015948649308E-02 
527	 2,12573849174976E-02 
528	 1,90249680541729E-02 
529	 1,92105509492455E-02 
530	 2,01331668324796E-02 
531	 1,95066967518233E-02 
532	 1,90484070578653E-02 
533	 0,019178262588442 
534	 2,00678172396284E-02 
535	 2,06282831884884E-02 
536	 2,03328138509822E-02 
537	 2,07912474330503E-02 
538	 2,13393069119466E-02 
539	 2,02809990563874E-02 
540	 1,99221353124829E-02 
541	 2,07484905909525E-02 
542	 2,14409866905694E-02 
543	 2,16005108154643E-02 
544	 2,09602791217626E-02 
545	 2,06128684246208E-02 
546	 2,08014046084644E-02 
547	 2,15613289587735E-02 
548	 2,19262321016725E-02 
549	 2,15117569105966E-02 
550	 2,14529209621993E-02 
551	 2,15893863988414E-02 
552	 2,14478442883587E-02 
553	 2,15900544911413E-02 
554	 0,02190797182749 
555	 2,13637198804143E-02 
556	 2,06835227223714E-02 
557	 2,05342773205734E-02 
558	 2,11931764273744E-02 
559	 0,022134615868142 
560	 2,19019988063042E-02 
561	 2,19821421886565E-02 
562	 2,27183575800841E-02 
563	 2,23896854185629E-02 
564	 2,17029595362041E-02 
565	 2,17650478431009E-02 
566	 2,23769672657037E-02 
567	 2,31702803266102E-02 
568	 2,30666598260045E-02 
569	 2,26999353274771E-02 
570	 2,25619462832465E-02 
571	 2,27845146026499E-02 
572	 2,31962845579875E-02 
573	 2,34035690259076E-02 
574	 2,32957274418389E-02 
575	 0,023037509355525 
576	 2,38670941771866E-02 
577	 2,44472716242442E-02 
578	 0,023269664889786 
579	 0,02400138926176 
580	 2,62704527558199E-02 
581	 2,63301951909397E-02 
582	 2,56592471229818E-02 
583	 2,52099989443751E-02 
584	 2,56153397476795E-02 
585	 2,63133217095189E-02 
586	 2,61294711791804E-02 
587	 2,60650340956244E-02 
588	 0,026302046585211 
589	 0,026290745976255 
590	 0,026108833684452 
591	 2,58656987400094E-02 
592	 0,025798651768008 
593	 2,58641771758027E-02 
594	 2,57065905761399E-02 
595	 2,59917892781353E-02 
596	 2,68517024711939E-02 
597	 2,70064341896587E-02 
598	 2,66896879394474E-02 
599	 2,64508697335815E-02 
600	 2,64846407172367E-02 
601	 2,67908396566732E-02 
602	 2,71170277342064E-02 
603	 2,70233725317918E-02 
604	 2,62670848054599E-02 
605	 2,62237402842279E-02 
606	 2,66501722767029E-02 
607	 2,63313982209256E-02 
608	 2,60407219706787E-02 
609	 2,60377161332035E-02 
610	 2,61029514288943E-02 
611	 2,62374341483038E-02 
612	 2,64606632837898E-02 
613	 2,64052258976021E-02 
614	 2,61024503161245E-02 
615	 2,59219516468115E-02 
616	 2,60451439563529E-02 
617	 2,64851917643185E-02 
618	 2,62118605662396E-02 
619	 0,025648031080922 
620	 2,58952517118446E-02 
621	 2,64242751892402E-02 
622	 2,69440840883534E-02 
623	 2,70054406369035E-02 
624	 2,66500985704104E-02 
625	 2,60032564304737E-02 
626	 2,62267851395715E-02 
627	 2,70855801645141E-02 
628	 2,71828641511022E-02 
629	 2,68987404202526E-02 
630	 2,64985643548868E-02 
631	 2,64748303065854E-02 
632	 2,68802584129591E-02 
633	 2,77190292284536E-02 
634	 2,79203916725875E-02 
635	 2,75265605438666E-02 
636	 2,82158432431901E-02 
637	 2,89268272956456E-02 
638	 2,87576449590813E-02 
