Wavelength	MORB100148.asd
325	 0,175470355543155 
326	 6,02104001111217E-02 
327	-3,88089785218674E-02 
328	-1,56438420609139E-02 
329	-7,40970664053583E-02 
330	-0,133782690332687 
331	-0,138361931291594 
332	-0,10071011568262 
333	-2,88726780840117E-02 
334	 7,66508190382452E-02 
335	 0,129285318232512 
336	 0,108139233705157 
337	 5,57862892888274E-03 
338	-5,69051840743628E-02 
339	-3,01034192847989E-03 
340	 2,30721650097689E-02 
341	 2,27162900753183E-02 
342	 3,69331580900155E-02 
343	 4,36434769790657E-02 
344	 4,36307274778817E-02 
345	 6,65670312755195E-02 
346	 9,23526774798272E-02 
347	 0,10877416285385 
348	 6,95306148203162E-02 
349	 9,61899198616362E-03 
350	 5,17627645564774E-02 
351	 5,97132515255346E-02 
352	 6,74135025280063E-03 
353	 2,11239984750621E-02 
354	 5,93928060719393E-02 
355	 6,46624164747832E-02 
356	 6,09565783168851E-02 
357	 5,28202710523616E-02 
358	 4,38126336189193E-02 
359	 1,95644320970643E-02 
360	-1,77995899857116E-02 
361	 5,89352167390616E-03 
362	 5,79743381768942E-02 
363	 8,87946747596686E-02 
364	 6,82930492527866E-02 
365	 8,11508136702365E-03 
366	 1,62093111541542E-02 
367	 3,91501544238188E-02 
368	 4,30290285341444E-02 
369	 4,43342264028836E-02 
370	 3,70710922405219E-02 
371	 5,72036755924281E-03 
372	 1,14831193952388E-02 
373	 5,17243103211034E-02 
374	 0,041986073536104 
375	 1,98608306047659E-02 
376	 1,56700073395503E-02 
377	 2,34257620762332E-02 
378	 3,26109775804525E-02 
379	 2,20534325557275E-02 
380	 2,59105304274949E-02 
381	 4,64123932983912E-02 
382	 4,37950336884875E-02 
383	 2,42347791726192E-02 
384	-1,74930205275088E-03 
385	 4,33280803540254E-03 
386	 3,16210623005092E-02 
387	 4,08758572200569E-02 
388	 3,40477992576605E-02 
389	 1,48914077270516E-02 
390	 5,55297538517457E-03 
391	 3,60519291690006E-03 
392	 3,71154264587675E-03 
393	 7,2180512970221E-03 
394	 0,013190367803533 
395	 2,03855400171273E-02 
