Wavelength	SCO-GRA00647.asd
325	 0,164360973198841 
326	 9,19768230933862E-02 
327	-0,047152874107949 
328	-0,146698951123691 
329	-2,75031141786019E-02 
330	 5,97276704888352E-02 
331	 3,17157208684462E-02 
332	-3,49509599113253E-03 
333	-1,45786458001221E-02 
334	 4,71801559386164E-02 
335	 8,05445502823906E-02 
336	 6,06363712006005E-02 
337	 8,57255359135592E-02 
338	 8,91901638862734E-02 
339	 0,021813440880972 
340	 4,17813964128068E-02 
341	 0,112200500367755 
342	 9,21565893994429E-02 
343	 6,45578179626576E-02 
344	 5,70257979212247E-02 
345	 8,10462869577908E-02 
346	 8,26066924035577E-02 
347	 1,64917510679853E-02 
348	 1,8088255403351E-03 
349	 3,40162985998351E-02 
350	 2,70591613460122E-02 
351	 1,23350448736896E-02 
352	 1,58123485863335E-03 
353	 3,47187181337145E-03 
354	 0,008009006673444 
355	 3,32027238571187E-03 
356	 2,72746714957463E-02 
357	 6,14801480083601E-02 
358	 4,44606054020951E-02 
359	 2,78656168424627E-02 
360	 3,21073295422255E-02 
361	 1,48887252600859E-02 
362	-4,37732410322652E-03 
363	 4,04502276633083E-03 
364	 4,1217792527035E-03 
365	-2,34554543803259E-03 
366	 2,46481406491849E-02 
367	 4,09932886177301E-02 
368	 2,36860753099326E-02 
369	 2,36002139057354E-02 
370	 3,58258061713419E-02 
371	 4,17163520869769E-02 
372	 2,98480307014747E-02 
373	 9,04250932973764E-03 
374	 3,20254401788989E-02 
375	 4,73059599066852E-02 
376	 1,98382580134182E-02 
377	 4,08209113241555E-03 
378	 7,09094043031289E-03 
379	 2,19748386543317E-02 
380	 3,21699670570564E-02 
381	 3,03348898592181E-02 
382	 1,56787049823104E-02 
383	 8,55460045788631E-03 
384	 2,69821432719028E-02 
385	 3,70610798799759E-02 
386	 3,62773033966476E-02 
387	 3,41172974772411E-02 
388	 0,042937805910448 
389	 6,00270530774901E-02 
390	 4,44834875848805E-02 
391	 1,99987728589033E-02 
392	 1,91205342407224E-02 
393	 2,35103631983733E-02 
394	 2,99273728677581E-02 
395	 0,04265386900497 
396	 4,90633046617614E-02 
397	 4,40200541580001E-02 
398	 3,71465609861993E-02 
399	 3,30174995813388E-02 
400	 3,62463260058572E-02 
401	 0,038298102941713 
402	 3,66546414484794E-02 
403	 3,18081559374199E-02 
404	 2,56989085311868E-02 
405	 2,00417687950279E-02 
406	 2,11482403256743E-02 
407	 0,02490096995538 
408	 2,11924963130865E-02 
409	 0,018373064717251 
410	 1,89332640407264E-02 
411	 2,18283958417195E-02 
412	 2,54022171914743E-02 
413	 2,80528023182934E-02 
414	 3,02876355116682E-02 
415	 3,01911281943231E-02 
416	 2,15882361305957E-02 
417	 1,88320104302118E-02 
418	 2,58121933728856E-02 
419	 2,56309353769889E-02 
420	 2,42558222921636E-02 
421	 3,09548866616787E-02 
422	 0,032530874027368 
423	 2,77613250247144E-02 
424	 2,16666371672418E-02 
425	 2,08808740691722E-02 
426	 2,81365043079773E-02 
427	 2,95033625267005E-02 
428	 2,69922823859415E-02 
429	 2,75945575761576E-02 
430	 2,79753904499102E-02 
431	 0,027267792083559 
432	 2,49680964199833E-02 
433	 2,47189981592832E-02 
434	 0,029245215007852 
435	 3,06590879266552E-02 
436	 2,82363788656167E-02 
437	 2,35762694221805E-02 
438	 2,08013584809612E-02 
439	 2,17922726476017E-02 
440	 2,50139655169029E-02 
441	 2,91090653617975E-02 
442	 3,27163373264389E-02 
443	 3,01588362804348E-02 
444	 0,023749205024754 
445	 2,56904686849368E-02 
446	 2,77151221857636E-02 
447	 2,51919712068711E-02 
448	 2,53141719795739E-02 
449	 2,68807508313104E-02 
450	 2,59602918528773E-02 
451	 2,49137043347944E-02 
452	 0,024364715394711 
453	 0,023543134489565 
454	 2,36463924737002E-02 
455	 2,56917468738591E-02 
456	 2,82545205408705E-02 
457	 3,04009183621205E-02 
458	 3,08653187130484E-02 
