Wavelength,Sample,Letter,mean_STD,mean_RAW,dataset_Name,ID
400,1,A,0.041521777692466455,0.2680754711993204,AURAY,AURAY_1_A
400,1,B,0.10204015905935072,0.04403744617078763,AURAY,AURAY_1_B
400,1,C,0.09264682743312208,0.02714557953231941,AURAY,AURAY_1_C
400,2,A,0.038484077313595856,0.1250308800096264,AURAY,AURAY_2_A
400,2,B,0.07168022261150779,0.03047214281286577,AURAY,AURAY_2_B
400,2,C,0.064166219575636,0.02569121084278042,AURAY,AURAY_2_C
400,3,A,0.035253579045147566,0.1837422560684346,AURAY,AURAY_3_A
400,3,B,0.08276996447810313,0.02386434491535005,AURAY,AURAY_3_B
400,3,C,0.07777892624004032,0.02213675081222401,AURAY,AURAY_3_C
400,4,A,0.02751873726324111,0.3116996721933149,AURAY,AURAY_4_A
400,4,B,0.0850465073180518,0.03471751742042757,AURAY,AURAY_4_B
400,4,C,0.06894147262257617,0.02094845157832173,AURAY,AURAY_4_C
400,5,A,0.026718189818675436,0.3639944785175406,AURAY,AURAY_5_A
400,5,B,0.10171529584172743,0.03177074407377291,AURAY,AURAY_5_B
400,5,C,0.0829598393317111,0.02498377375139928,AURAY,AURAY_5_C
400,6,A,0.04686340169913822,0.3815506186029382,AURAY,AURAY_6_A
400,6,B,0.10350063497640546,0.02991744212334135,AURAY,AURAY_6_B
400,6,C,0.06950503651154882,0.02170967230270522,AURAY,AURAY_6_C
400,7,A,0.05558196065153388,0.1278485498474003,AURAY,AURAY_7_A
400,7,B,0.08738097603915226,0.03063251375584783,AURAY,AURAY_7_B
400,7,C,0.0874992802841587,0.02486693108766915,AURAY,AURAY_7_C
400,8,A,0.05704058604318329,0.06787863677633667,AURAY,AURAY_8_A
400,8,B,0.11536141875031461,0.049943071391847504,AURAY,AURAY_8_B
400,8,C,0.08453351033994837,0.02448044098932713,AURAY,AURAY_8_C
400,9,A,0.04306145064531624,0.2570524244567853,AURAY,AURAY_9_A
400,9,B,0.11304197125836542,0.0420363303882996,AURAY,AURAY_9_B
400,9,C,0.0967905730740327,0.02593077590639096,AURAY,AURAY_9_C
400,10,A,0.044676200829651534,0.03910352711242056,AURAY,AURAY_10_A
400,10,B,0.08943007254068487,0.02770932772281922,AURAY,AURAY_10_B
400,10,C,0.08713640416386728,0.02500950329447543,AURAY,AURAY_10_C
400,11,A,0.05573377403105305,0.2981866483498451,AURAY,AURAY_11_A
400,11,B,0.1376586519755973,0.04401543134473669,AURAY,AURAY_11_B
400,11,C,0.0669077435424032,0.02359542675033821,AURAY,AURAY_11_C
400,12,A,0.040578600389818455,0.4856563608717689,AURAY,AURAY_12_A
400,12,B,0.09500883709433137,0.03863993954355015,AURAY,AURAY_12_B
400,12,C,0.09527287602190723,0.02884958632181939,AURAY,AURAY_12_C
400,13,A,0.0443647040428491,0.29936054450914673,AURAY,AURAY_13_A
