Wavelength,Sample,Letter,mean_STD,mean_RAW,dataset_Name,ID
400,1,A,NA,0.4624655633519953,CAMFROU,CAMFROU_1_A
400,1,B,0.07227702213686861,0.07763596471564546,CAMFROU,CAMFROU_1_B
400,1,C,0.052609474601831255,0.02012200477789907,CAMFROU,CAMFROU_1_C
400,2,A,0.02930342384473915,0.2045715307850596,CAMFROU,CAMFROU_2_A
400,2,B,0.06910287157576944,0.018509921322952844,CAMFROU,CAMFROU_2_B
400,2,C,0.06878336168163107,0.01961150520289602,CAMFROU,CAMFROU_2_C
400,3,A,0.026824170203356906,0.05386877612770586,CAMFROU,CAMFROU_3_A
400,3,B,0.05563864904613268,0.02428631162112779,CAMFROU,CAMFROU_3_B
400,3,C,0.10231212057959371,0.01837201461367364,CAMFROU,CAMFROU_3_C
400,4,A,0.017410214505872223,0.2079882958857183,CAMFROU,CAMFROU_4_A
400,4,B,0.042527774317818685,0.02061484570643278,CAMFROU,CAMFROU_4_B
400,4,C,0.057554685470801996,0.02225490393421831,CAMFROU,CAMFROU_4_C
400,5,A,0.016694678066050093,0.1607524459055272,CAMFROU,CAMFROU_5_A
400,5,B,0.046562362379852826,0.02632295742985262,CAMFROU,CAMFROU_5_B
400,5,C,0.05541542028604494,0.01761550630450278,CAMFROU,CAMFROU_5_C
400,6,A,0.01753887653270306,0.2994154118810667,CAMFROU,CAMFROU_6_A
400,6,B,0.07348983021221611,0.02008540654687457,CAMFROU,CAMFROU_6_B
400,6,C,0.06792874324579912,0.012805515170424234,CAMFROU,CAMFROU_6_C
400,7,A,0.03378564454572225,0.08228910955588951,CAMFROU,CAMFROU_7_A
400,7,B,0.042255282631005066,0.017639226532985528,CAMFROU,CAMFROU_7_B
400,7,C,0.06135963336397682,0.02024401413057701,CAMFROU,CAMFROU_7_C
400,8,A,0.03074179975422275,0.03527506772960127,CAMFROU,CAMFROU_8_A
400,8,B,0.05132355957595134,0.01610118587418078,CAMFROU,CAMFROU_8_B
400,8,C,0.0578445128531626,0.009817178111695971,CAMFROU,CAMFROU_8_C
400,9,A,0.03270109548450934,0.1439558250201978,CAMFROU,CAMFROU_9_A
400,9,B,0.05473944463180772,0.01611943924190425,CAMFROU,CAMFROU_9_B
400,9,C,0.05707555622627966,0.013407967800876342,CAMFROU,CAMFROU_9_C
400,10,A,0.04676789245471659,0.05912638650110847,CAMFROU,CAMFROU_10_A
400,10,B,0.04570324037454441,0.02597294109789203,CAMFROU,CAMFROU_10_B
400,10,C,0.08256996234165684,0.0170937298995653,CAMFROU,CAMFROU_10_C
