Wavelength,Sample,Letter,mean_STD,mean_RAW,dataset_Name,ID
400,1,A,0.06570964992965514,0.35882945517852066,SCORFF,SCORFF_1_A
400,1,B,0.18813488424479916,0.04563184899431676,SCORFF,SCORFF_1_B
400,1,C,0.12524406477195935,0.03923227144676683,SCORFF,SCORFF_1_C
400,2,A,0.04377497405303555,0.04424408536800399,SCORFF,SCORFF_2_A
400,2,B,0.14221649979908235,0.03456482222327052,SCORFF,SCORFF_2_B
400,2,C,0.11350574905358224,0.03231172722322242,SCORFF,SCORFF_2_C
400,3,A,0.058350845191202226,0.2590640644743778,SCORFF,SCORFF_3_A
400,3,B,0.134858281465439,0.03850871170780433,SCORFF,SCORFF_3_B
400,3,C,0.11416242658890276,0.02401473179261541,SCORFF,SCORFF_3_C
400,4,A,0.06460354148816945,0.35332697334162,SCORFF,SCORFF_4_A
400,4,B,0.13733507047776788,0.03669027466279144,SCORFF,SCORFF_4_B
400,4,C,0.11056533391284945,0.02657362850656371,SCORFF,SCORFF_4_C
400,5,A,0.0703408301673796,0.41921799123493597,SCORFF,SCORFF_5_A
400,5,B,0.15635751928225358,0.04081816270739627,SCORFF,SCORFF_5_B
400,5,C,0.08035007552421729,0.02494104489198471,SCORFF,SCORFF_5_C
400,6,A,0.06549408135139721,0.2622976531080986,SCORFF,SCORFF_6_A
400,6,B,0.14431178276087492,0.03276456748774066,SCORFF,SCORFF_6_B
400,6,C,0.10915212025667656,0.02446642707542819,SCORFF,SCORFF_6_C
400,7,A,0.0794330782158396,0.3162058878623238,SCORFF,SCORFF_7_A
400,7,B,0.186501738259727,0.04671527648331235,SCORFF,SCORFF_7_B
400,7,C,0.13580467094266693,0.023930735934701235,SCORFF,SCORFF_7_C
400,8,A,0.05147199924429611,0.343991158909263,SCORFF,SCORFF_8_A
400,8,B,0.15849395735448216,0.04954979319340437,SCORFF,SCORFF_8_B
400,8,C,0.12317348762018752,0.029055124457221408,SCORFF,SCORFF_8_C
400,9,A,0.053302723709683045,0.05203456379173974,SCORFF,SCORFF_9_A
400,9,B,0.14185954276318744,0.03129443387753551,SCORFF,SCORFF_9_B
400,9,C,0.1004882650315027,0.03542326080713883,SCORFF,SCORFF_9_C
400,10,A,0.0639296563339842,0.22173546251078,SCORFF,SCORFF_10_A
400,10,B,0.15168909821153714,0.03653730510693899,SCORFF,SCORFF_10_B
400,10,C,0.15061599269946024,0.0296181577610753,SCORFF,SCORFF_10_C
400,11,A,0.09399176283950562,0.2729687910046573,SCORFF,SCORFF_11_A
400,11,B,0.20233811296847098,0.03273532465498267,SCORFF,SCORFF_11_B
