Wavelength,Sample,Letter,mean_STD,mean_RAW,dataset_Name,ID
400,1,A,0.018831822991408446,0.1550284119619643,VIE,VIE_1_A
400,1,C,0.025554732877225383,0.014620274243189858,VIE,VIE_1_C
400,2,A,0.008095405835042386,0.2138782213239011,VIE,VIE_2_A
400,2,C,0.017078824549836374,0.05451404520189261,VIE,VIE_2_C
400,3,A,0.014294796658231964,0.17342319353208682,VIE,VIE_3_A
400,3,C,0.04134872473360828,0.014559786852864168,VIE,VIE_3_C
400,4,A,0.014329359779143189,0.15008423675869353,VIE,VIE_4_A
400,4,C,0.030659258716650633,0.015329734944186673,VIE,VIE_4_C
400,5,A,0.01811452169487975,0.06724041067573155,VIE,VIE_5_A
400,5,C,0.03416573913262113,0.009874959805227606,VIE,VIE_5_C
400,6,A,0.01524273252148356,0.20940090265974545,VIE,VIE_6_A
400,6,C,0.029445353444522055,0.0099296476641095,VIE,VIE_6_C
400,7,A,0.013143853707280807,0.148935998438146,VIE,VIE_7_A
400,7,C,0.026303665105290423,0.013104391565988324,VIE,VIE_7_C
400,8,A,0.02254501606258601,0.058067228627865314,VIE,VIE_8_A
400,8,C,0.02956976984553005,0.01162301897193256,VIE,VIE_8_C
400,9,A,0.018774166514754068,0.17019265928614088,VIE,VIE_9_A
400,9,C,0.05017783817368907,0.014103564702099307,VIE,VIE_9_C
400,10,A,0.018112683299660915,0.17856373742477835,VIE,VIE_10_A
400,10,C,0.0502655967012898,0.010469291193899584,VIE,VIE_10_C
400,11,A,0.021411151928776476,0.1857007556617207,VIE,VIE_11_A
400,11,C,0.03378095337017074,0.013777045339703252,VIE,VIE_11_C
400,12,A,0.024149386534920443,0.1982195323625339,VIE,VIE_12_A
400,12,C,0.03364528824843155,0.009943405760485097,VIE,VIE_12_C
400,13,A,0.020834394787946246,0.08537768156552897,VIE,VIE_13_A
400,13,C,0.05765701967844556,0.015447654922136988,VIE,VIE_13_C
400,14,A,0.01164772619594812,0.15876498690798851,VIE,VIE_14_A
400,14,C,0.06140565723280001,0.015886421057467032,VIE,VIE_14_C
400,15,A,0.019384534947187653,0.10489496531765366,VIE,VIE_15_A
400,15,C,0.03485743548968039,0.010174652028113376,VIE,VIE_15_C
400,16,A,0.015588474562638534,0.13799951766273147,VIE,VIE_16_A
400,16,C,0.05688389339185089,0.015349855298819418,VIE,VIE_16_C
400,17,A,0.012058395961397843,0.2114562910560889,VIE,VIE_17_A
400,17,C,0.019304155828113723,0.00754030961458955,VIE,VIE_17_C
400,18,A,0.024863477748944013,0.1182321535210622,VIE,VIE_18_A
400,18,C,0.03735909874638399,0.009983807248840102,VIE,VIE_18_C
400,19,A,0.017959238937338154,0.1376029101015206,VIE,VIE_19_A
400,19,C,0.0491620835262587,0.015498208461573801,VIE,VIE_19_C
400,20,A,0.013226647678530863,0.15512272038219496,VIE,VIE_20_A
